question,offer,experience,interview,difficulty,source
,No Offer,Negative Experience,"Interview was fine, was interviewed by two guys. Bad experience as the interviewer forget that i am apply for an internship position. They mentioned about how i do not have the experience for the job.",Average Interview,Shopee
 Why you choose the division?   ,No Offer,Positive Experience,"got my first interview after a year, and it was fun . the environment of office and the building is very nice and very comfortable. they also provided free snack and mineral water",Average Interview,Shopee
" Two sum, design cart, implement linkedlist   ",Accepted Offer,Positive Experience,,Easy Interview,Shopee
 Tell me about a project you did on Python   ,No Offer,Neutral Experience,,Average Interview,Shopee
 What is your GPA? Are you hold a Student Pass?   ,Declined Offer,Positive Experience,,Average Interview,Shopee
,No Offer,Positive Experience,"Had a 40 min software engineering mcq question. They brought us to a room with a few other candidates where they gave us a question paper and a rough paper to answer the questions. There were some IQ questions, some basic algorithm, sorting, searching, OS, networking and bitwise manipulation questions.",Difficult Interview,Shopee
 Why Shopee?   ,No Offer,Negative Experience,"Applied online. Received an email invitation to come to their office for an interview. Not sure why, the interviewer seems quite rude and arrogant. The interview lasted for about 30 minutes and so. The HR didn't even ask me if I have any questions by end of the interview. They never get back to me after that, even after I gave them the 'Thank You' note. Literally, there was only silence from their end, it's definitely not a good experience. ,",Easy Interview,Shopee
 Write efficient problem solving code about array.   ,Accepted Offer,Positive Experience,"Technical interview questions, basic understanding about software, and coding test. Explain brief understanding about SDLC. Demonstrate creation of test cases. Write efficient problem solving code about array with own favorite programming language.",Average Interview,Shopee
 Tell me about your background   ,No Offer,Negative Experience,"After submitting resume, I got an email right away (less than a day), and scheduled for interview. Had a phone interview for about 20 minutes. But they never got me back whether I can proceed to next level or not after the interview.",Average Interview,Shopee
" Fundamental knowledge in computer science ( eg. database, os, data structure, algorithm, ...)   ",Declined Offer,Positive Experience,,Average Interview,Shopee
,No Offer,Negative Experience,,Easy Interview,Shopee
 What do you know about E-Commerce landscape in Vietnam   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
" Write efficient code to find 2nd largest element in array, by considering all possible user inputs.   ",Accepted Offer,Positive Experience,"There are 2 stages until receiving offer. Stage 1 is technical interview with Senior Expert Engineer. Stage 2 is behavioral interview with Manager. In stage 1, interviewer was reviewing of coding skills and test cases writing skills. In stage 2, they were asking about career motivation.",Average Interview,Shopee
,Declined Offer,Neutral Experience,,,Shopee
 Why do you want to apply to Shopee?   ,No Offer,Negative Experience,,,Shopee
 Online coding test on SQL and Python   ,No Offer,Neutral Experience,Phone interview -> online coding test on SQL and Python It was quite tricky if you are not fully proficient with similar problems and we were only given an hour's time limit. -> case study,,Shopee
 Tell me more about yourself   ,Accepted Offer,Positive Experience,"The hiring process was really fast. 2 rounds of interview, first on the phone with HR, second with the hiring managers. It took about a week for the entire process to be completed.",Average Interview,Shopee
 Technical interview: How to find duplicated rows in a dataframe?   ,No Offer,Negative Experience,"Process takes 4 months from the point of submitting your resume on their website. After that there is a total of 3 interview rounds, a phone interview with HR, Technical Interview, On-site interview. Each interview round after the phone interview takes around a month to be processed. Also they seem to be pushing their candidates around different job roles which further lengthens the process.",Easy Interview,Shopee
 What other companies have you interviewed? How is their company’s progress ?   ,No Offer,Negative Experience,,,Shopee
 Elaborate more on your previous work experience/CCA?   ,Declined Offer,Neutral Experience,,Average Interview,Shopee
 What are the process of an front automation testing   ,No Offer,Neutral Experience,"I applied online and was shortlisted for a written test consisting of 20 MCQ questions at shopee. Following that was a face to face interview. During the f2f, I was asked questions related to my internship experience, some technical question and on the spot coding test. The coding test was very simple.",Average Interview,Shopee
" they asked me about the my general background, brief introduce about myself?   ",No Offer,Positive Experience,"submitted online, days later got invited to do online test, then an email make appointment to the first phone call interview, after that details of other 3 interviews was sent. read carefully and they added in other related department to interview me as appointed",Average Interview,Shopee
 Experience with projects   ,Accepted Offer,Positive Experience,"The interview was quick and I got asked several basic questions since the job position is for an intern. 3 stages in total: 1 HR interview, 1 coding test, and 1 hiring manager interview.",Easy Interview,Shopee
,No Offer,Positive Experience,"Hiring and interview process was very clear in terms of what I have to do for the next steps. After applying online, I was called for a 15-minutes phone call, then moved to the next step which is a 1-on-1 interview at their office. The whole interview lasted for less than 30 minutes, with questions mostly based on my resume.",Average Interview,Shopee
 How did you hear about us? Why do you choose us?   ,No Offer,Positive Experience,Apply through website. Got an email about interview date 2 days later. You have get everything ready before you apply for a job like transcripts and any certificates. At the day. There were 40 people in a room with a number. You will be call one by one.,Average Interview,Shopee
 What you know about our company?   ,No Offer,Neutral Experience,"First round of interview is just asking some common interview question like What you know about our company?, second round will be asking about Android, third round will be asking about algorithm and computer science.",Easy Interview,Shopee
 what do you know about shopee   ,No Offer,Positive Experience,It was about 20 minutes phone interview. The hr asked about general questions and technical questions to see whether you know the company well and whether you can do the job. The whole process was friendly.,Average Interview,Shopee
 some experience before   ,No Offer,Positive Experience,,Average Interview,Shopee
 What’s your biggest mistake?   ,No Offer,Positive Experience,,Average Interview,Shopee
 There is a sales promotion (e.g. 1212). How will you implement it?   ,No Offer,Negative Experience,,Average Interview,Shopee
,No Offer,Neutral Experience,,Easy Interview,Shopee
 Why do you choose this role?   ,No Offer,Neutral Experience,Very general questions and introduction. Friendly interviewer and clear description of job details. Would be good if the interviewer is prep with the right questions to ask. It was supposed to be a 30-45min call but it went on for 1.5 hours.,Average Interview,Shopee
 Python Test   ,No Offer,Negative Experience,"Approached by someone on Linkedin to apply for a job with the company. HR contacted me to schedule a phone call. All she did was postpone and postpone. Very unprofessional and after doing a skills test about python, no response, no reply. Nothing. One of the worst company to be interviewing at. Do not bother with this company.",Average Interview,Shopee
 what is the next bigger number?   ,No Offer,Neutral Experience,1 hour coding and there is a lady sitting besides you and give lots of questions on data structure. The questions are focusing on the optimization of the code. There are 5 questions.,Average Interview,Shopee
 numerical and logical test.   ,No Offer,Neutral Experience,got the email after two months applying. the email stated that the applicants will be having a test for 30 mins. started with numerical and logical test. if passed then schedule for next interview will be informed.,Difficult Interview,Shopee
,Accepted Offer,Positive Experience,"First round with HR, second and third round with a team leader and final round with a head of engineering. Including basic programming, project reviewing and some open questions related to Machine Learning.",Average Interview,Shopee
 Linux and Network troubleshooting such as disk space and tcp/ip   ,No Offer,Positive Experience,,Easy Interview,Shopee
 Asked questions about some stuff on my reusme.   ,No Offer,Negative Experience,"Phone interview, sent me an email to schedule phone interview. Sent email afterwards to ask why I didn't get the role and if there's anything I can work on. Did not get a reply.",Average Interview,Shopee
,Accepted Offer,Positive Experience,"It started with a phone interview before the face to face one. During the F2F session, there was a quick case study to test excel skills. You need to know how to use pivot tables to analyse the datasets. The interview ended with fit questions from the team lead.",Average Interview,Shopee
,Declined Offer,Positive Experience,"First was a phone interview, followed by a written test (given 4 questions and 3 days to complete) and lastly a Ftf interview. Got back results within a day or two.",Easy Interview,Shopee
 Why do you want to join Shopee?   ,No Offer,Neutral Experience,"HR phone interview , followed by onsite business case analysis and writing, face-to-face interview with hiring manager. The phone interview was about 30mins. The onsite test and interview in total about one hour.",Average Interview,Shopee
 Tell me something not written on your resume.   ,No Offer,Neutral Experience,I was interviewed by two people in one day. Both interviews started really late (more than an hour later than scheduled). It's a good thing the waiting area was comfortable and their pantry is open to non-employees. Most questions were about my personality and things written in my resume.,Easy Interview,Shopee
 What is your visa status   ,No Offer,Negative Experience,"Had a phone screen with recruiter, she was nice and informative of the role. After around two months, I was contacted again for an interview in SG office. The day before, the in person interview was changed to a Skype interview due to the interviewer not being in office. During the video interview, interviewer told me the Shopee overseas team can only hire people who they do not need to sponsor visa, a directive which was changed only days prior to my interview. She did not ask any other skill set or experience questions after that. Everyone along the process was nice nice about it, but coordination leaves much to be desired, especially for a reputable brand name like Shopee. I did spend time to prepare for the interview, and took time off of work to do it. Maybe next time.",Easy Interview,Shopee
 What is drop-out layer?   ,No Offer,Negative Experience,"Got called up upon getting shortlisted after a week. The first step was the technical round with whiteboard coding and discussion on the candidate's background. Even though I felt I did well as I could answer the questions well, the application was not moved further. I asked for my weaknesses upon knowing the outcome but to no avail.",Average Interview,Shopee
 Question based on the resume.   ,No Offer,Positive Experience,,Average Interview,Shopee
 What characteristics you don't like about your teammates?   ,Accepted Offer,Positive Experience,"Contact through a campus career fair, then Shopee HR contacted me through email and arranged for the interview. During the interview, I was interviewed by to members, one line mananger and another team member.",Easy Interview,Shopee
 Medium to Complex Algorithm Questions. Basic ML questions   ,No Offer,Negative Experience,,Difficult Interview,Shopee
 Never called me in lieu of setting up a date and time to talk.   ,Declined Offer,Negative Experience,"Could never get the HR to get on call regardless of the recruiter getting in touch with me for the role and setting the date and time. It was highly unprofessional to make a candidate wait at the other end if you don't want to make the call in the first place. After multiple follow-ups too, there was no response.",Easy Interview,Shopee
 Why you are not first class graduate but you still want to join Shopee?   ,No Offer,Negative Experience,"3 rounds - 1st round phone interview with HR; 2nd round sql/python test; 3rd round F2F interview with team leader. In the 3rd round, the team leader told me they required a Python specialist but I was given an SQL test in round 2. I explained that I know Python but I am more confident to SQL. So I was told to do the Python test again on the next day where they never contacted me afterwards. This reflected bad communications between the operation team and HR plus they have a bad way of testing people (send questions thru email... Come, in year of 2018, just create an online test does not waste much of your time.)",Average Interview,Shopee
 Do you like troubleshooting problems?   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
 Tell me about yourself   ,No Offer,Negative Experience,,Easy Interview,Shopee
,Accepted Offer,Positive Experience,"I came in for the hiring blitz. There were lots of long waits, though that's understandable because there were so many people. We were given a test on reading comprehension and problem solving, which wasn't too difficult but the essays require you to be very creative with your answers. Quick interview with HR, then was made to wait for the next interview. Unfortunately, something came up and the team had to go into an emergency meeting, so my interview got pushed back for a couple more days. I was called back into the office after two days for the second interview, and then was told to come back in another two days for the final interview. The final interview was very pleasant and conversational. Overall, a very good experience.",Easy Interview,Shopee
 Why you choose shopee?   ,No Offer,Positive Experience,"An employee referred for me, the process took a week. The HR gave me a telephone interview and then ask me to wait for the second round. They asked about my preference for the job and talked about the details on my resume.",Easy Interview,Shopee
 How to reverse a space-delimited-string word by word   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
 Describe yourself   ,No Offer,Positive Experience,,Average Interview,Shopee
 Why do you think you are the right candidate for this position?   ,No Offer,Neutral Experience,It was a straight forward process where you had to go for a face to face interview with one of the managers there. Consisted of a typical resume walk through along with some other scenario based questions on promotional strategies.,Average Interview,Shopee
,No Offer,Negative Experience,,Average Interview,Shopee
 Name one achievement you did.   ,No Offer,Positive Experience,"Submit my resume online and had a phone interview with the HR staff. After that I was invited for a face-to-face interview at their office. Still didn't receive any further email about the results, but I guess i failed since they didn't contact me again. Hope the company will send an email to inform applicants even though we didn't make it through the interview.",Average Interview,Shopee
 Why did you apply for shopee   ,Accepted Offer,Neutral Experience,It was very fast. I applied online and they called me a few days after. They invited me for an interview and asked about the things in my resume. I was informed that I was accepted a few days after. It was a very quick process,,Shopee
 Why Shopee   ,No Offer,Negative Experience,,Average Interview,Shopee
 Why want to leave current company   ,No Offer,Neutral Experience,,Difficult Interview,Shopee
 What should you do to make a change in Shopee's Design & Communication   ,Accepted Offer,Positive Experience,"For applying as graphic design, Shopee's require a small test of design creation. Then after passing the design test, HR would call you by phone to set interview meeting with the users.",Easy Interview,Shopee
 Simple algo qns   ,Accepted Offer,Neutral Experience,,Average Interview,Shopee
 Tell me more about yourself which is not stated in the resume.   ,No Offer,Positive Experience,,Difficult Interview,Shopee
 your background and your job planning   ,Accepted Offer,Negative Experience,bad service provided by the team and not good manners. the cannot get the good attitude to the candidates. bad service provided by the team and not good manners. the cannot get the good attitude to the candidates.,Average Interview,Shopee
 Why do you want to join Shopee?   ,No Offer,Neutral Experience,,Average Interview,Shopee
 What kind of projects were you engaged in? Why do you want to leave your current company?   ,No Offer,Negative Experience,"Recruiter reached out to me on LinkedIn and asked about my background, prior experiences, interests, etc. The process seemed pretty disorganised in general, with little transparency over what the role was looking for, skillset, etc. She asked me my salary expectations, and rejected me within the next few days.",Easy Interview,Shopee
 Math test   ,Declined Offer,Negative Experience,"they had a screening process. I had to do a math test first before having an interview with the HR. I didn't pass the math test, because i didn't go to any major that related to it. I applied for social media content position in Indonesia. The question is, why do we need to pass the math test first? i think tons of related experience, skills, and CREATIVITY are the most important thing. Those questions won't appear to make a social media content. Creativity, skills, experience are more important. Well, those maths may be more useful for other departments. I think u need to think about that. Not necessarily smart people are creative. You have to think about it.",Difficult Interview,Shopee
 Demonstrate the projects you have done in your last internship.   ,Accepted Offer,Positive Experience,"There are 3 round of interviews. First round was conducted with the team leader, second round with director and final round with the head. First round is technical test, the leader asked me a few questions about sql and python, gave me a scenario about updating the storage of products in the warehouse, how to implement in sql and python. Second and final round may be more about your own experience.",Easy Interview,Shopee
 Tell me a situation in which you have to convince others   ,No Offer,Neutral Experience,,Difficult Interview,Shopee
" Computer Science fundamentals : Computer Network, Cryptography, Virtual Machine, Algorithm & Data structures.   ",No Offer,Neutral Experience,,Difficult Interview,Shopee
 Case study question about falling marketshare in a coffee chain.   ,Accepted Offer,Positive Experience,Prior candidate from their GLP program. Spoke to HR and discussed other possible roles I could fill. Interview was a discussion about the role + a short case study interview.,Easy Interview,Shopee
 Describe your education background   ,No Offer,Negative Experience,Applied for the job through a recruiter (Shopee Singapore). The interview was done through the phone and the overall interview experience was alright although the interviewer was late for 30 mins. The follow-up was very bad. After a week I was informed that they were interested in progressing further and will call me up to negotiate the expected salary. Since then it has been about 2 months and I have yet to receive any call from Shopee. Tried to get an update from the HR team 2 weeks ago and yet still no response.,Easy Interview,Shopee
,No Offer,Negative Experience,,Easy Interview,Shopee
 How to do binary search?   ,Accepted Offer,Positive Experience,"First round is about binary search, solved it very quickly. Act like I solved it too soon. Second round is about projects. If you use English, it will help. Third round is about culture. Just talk and ask question about anything.",Easy Interview,Shopee
 Why do you want to work in Shopee?   ,No Offer,Positive Experience,,Difficult Interview,Shopee
,No Offer,Negative Experience,"Approached by the HR and went thru initial phone convo, everything is smooth until the first actual interview. Interviewed by the head of customer experience, young chap who quickly shared about his team but did not seem to be much interested with his candidate. I was given a test in the mid of interview, cleared the given test, initiate to explained my answer, but apparently the interviewer only utilise the test to ""challenge"" your answer instead of finding out your method or flow of work (which is important in research). Was rejected on the basis that I did not have enough quantitative experience, however my CV clearly stated I've 8 years of that, which shows the chap did not even try to understand candidate's resume from the start (asked nothing on that and did not give time to let candidate share about key experiences). Disrespect to people's time and effort. However Shopee HR did a great job at explaining the role and scope of work.",Average Interview,Shopee
 CS question - root cause of call surge in weekdays.   ,Accepted Offer,Positive Experience,,Difficult Interview,Shopee
,Accepted Offer,Positive Experience,"The interview took half a day. Before noon for paper based test and hr interview, after noon for user interview. The paperbased test is like a usual math test, 30 min max",Easy Interview,Shopee
" 1. JAVA Techs,MYSQL Techs   ",No Offer,Negative Experience,,Average Interview,Shopee
,No Offer,Neutral Experience,"The interview questions can be vary based on the interviewer. I and my friend got a total different questions (in different domain) during the interview. So, you have to prepare all the related knowledge for the position you are applying for.",Average Interview,Shopee
,No Offer,Neutral Experience,"First round was a phone interview, followed by a technical test (SQL - pretty standard questions if you had experiences working with SQL). The last round was a case interview (which came as a surprise as the HR did not mention that it would be a case interview at all) - focused on the functional area you are applying, 1-1 with your future head.",Difficult Interview,Shopee
 The questions were focused on my resume.   ,No Offer,Neutral Experience,"In the beginning, I was contacted by a headhunter. I applied for backend developer, however, the person who on-site interviewed with me is a director of the data analyst... He said the job I applied was closed. It is not polite to me without informing first.",Average Interview,Shopee
,Accepted Offer,Positive Experience,"It was great, had 2 interviews. The first interview went well. The second one I had to wait for 30 minutes because the manager was busy. The interview lasted 20 minutes only.",Average Interview,Shopee
,Declined Offer,Neutral Experience,,Average Interview,Shopee
 The recruiter repeatedly state i am too old as the team consist of people in their 20s   ,No Offer,Negative Experience,Discriminated by my age. The recruiter repeatedly comment on my age because i am slightly older by the rest of the team. They didnt pay attention to my experience or skills.,,Shopee
" Standard questions like why you choose this role, why choose shopee, why you think you are qualified.   ",Accepted Offer,Positive Experience,"Phone interviewed first with HR, asked about more details information about the thing I put on my resume. And after around 1 day, I got a on site interview at Shopee office with the department manager.",Average Interview,Shopee
 How do you think of QA position   ,Declined Offer,Positive Experience,"Well , introduce your self first. Will ask question about your understanding for this position. They will also ask some of your used experience. Besides will ask some basic coding skills",Average Interview,Shopee
 Why are you leaving your current job?   ,Accepted Offer,Neutral Experience,"For the interview, it was good overall. The interviewer is pretty friendly and communicative, and they are willing to answer all of my questions. However, for the hiring process, sometimes I don't really get the timeline - I have to keep following up the next step with the recruiter to know what is the status and what should I wait for.",Average Interview,Shopee
 Why Shopee? Why GLP?   ,Declined Offer,Negative Experience,,Easy Interview,Shopee
 Situation based questions to ask how you would approach a business problem   ,No Offer,Negative Experience,"the interview process has really left me with a negative image of the company. I started out with much enthusiasm and interest, completed 2 short face to face interviews and proceeded to offer stage. At offer stage, they asked for extremely detailed salary information and payslips. I was hesitant to provide but they mentioned it’s part of ‘compliance’ process. After providing these details, there was only silence from their end for 1 month, with no updates on the status despite my follow-ups over email. Perhaps it’s their way of obtaining confidential salary information about other companies. Very unprofessionally conducted and leaves a bad taste for SEA Group that just IPOed.",Average Interview,Shopee
 What's our product that you know of? Can describe?   ,Accepted Offer,Neutral Experience,Written test. You will be given 4 questions and you need to answerin the from of email reply to the user/buyer. And then later group interview with the Manager,Average Interview,Shopee
 How you define success?   ,No Offer,Positive Experience,Interviewed with a HR representative on the first stage process. The questions were the common ones. The HR person sometimes took my answers and asked for more clarification. It was a very relaxed environment and they tried to make me comfortable with the questions asked.,Average Interview,Shopee
 Describe your job experience   ,Accepted Offer,Positive Experience,Smooth and professional Hiring Manager to arrange an interview with the team lead. We had Skype interview and he asked common questions related to my previous job experiences. The result took 3 days. Overall was good.,Average Interview,Shopee
 How os' thread works?   ,No Offer,Neutral Experience,,Average Interview,Shopee
 Are you interested in the fashion industry? Do you have any tangible proof to show?   ,No Offer,Neutral Experience,"It was a 20 minute phone interview. The interviewer was late by almost 1 hour due to some circumstances on her side. Questions asked were generic, but the position available was as Business Development Intern in Fashion, while the advertised job omitted the fashion part.",Average Interview,Shopee
,Accepted Offer,Neutral Experience,"Challenging yet it was more towards a series of personal structured questions. The HOD was a good listener, yet also willing to share the information of Shopee. The whole interview lasted for almost 2 hours.",Difficult Interview,Shopee
,No Offer,Neutral Experience,"I applied online, took one day before HR team sent me an email. Unfortunately, I was unable to attend the interview. This questions were given by my senior who was having an intern at Shopee.",Average Interview,Shopee
 Why did you choose Shopee?   ,Accepted Offer,Positive Experience,"First round is a phone interview with the HR to see fit and career interest. Second round is a interview with the Senior Associate with basic introduction, running through of resume and testing of technical skills.",Easy Interview,Shopee
 Tell me more about yourself.   ,No Offer,Negative Experience,"Emailed them my documents and had a phone interview. However, during the phone interview, they told me there weren't any marketing roles available since they require Bahasa or Vietnamese except for one which they have to ask the department. My friend applied shortly after me and he was told there were several marketing positions available (He doesn't know Bahasa or Vietnamese) and was asked to go down for an interview for the marketing positions. I think the employer should at least be honest about the roles available and tell me directly that I'm not suitable for the roles, rather than tell me one thing and my friend another. Makes me question the integrity of the company's hiring process or does gender actually play a part?",Average Interview,Shopee
 Tell me about a machine learning project you have implemented   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
 Tell me somthing about yourself   ,No Offer,Neutral Experience,,Average Interview,Shopee
,Accepted Offer,Positive Experience,"I have first round interview with HR and the rest two rounds with a manager and head of regional operations. Besides, before interviewing with managers, I did a python test.",Difficult Interview,Shopee
 Walk me through your resume   ,No Offer,Neutral Experience,"Applied online. Received a call from HR to have a phone interview. Interview questions were fairly standard, sharing on background etc. Experience was okay, with only issue coming during follow-up. Followed-up twice on bi-weekly intervals, but HR did not respond at all.",Average Interview,Shopee
,Accepted Offer,Positive Experience,"Total 3 round: 1 round with HR, 1 round with team lead, last round with cross border department head. Normal background check and behaviour questions. Depending on the team you apply, there may be simple scenario test questions for your understanding on cross border ecommerce/coding skillsets etc.",Easy Interview,Shopee
 What did you do in your previous internship?   ,Accepted Offer,Neutral Experience,The process was relatively short. Had a phone interview followed by a 1-1 interview with the Department Head. Took about an hour. He was very straightforward with his requirements for my internship and asked about my skills and projects done previously,Easy Interview,Shopee
 Explain API in a statement.   ,No Offer,Negative Experience,"One face-to-face with a Country PM lead. The interview was rather informal. Mostly on background check. Interviewer was not professional, had issues speaking in English (not his native tongue) but questionable since this role requires good communication skills and a hindrance in language capability seems odd. Interviewer does not seem to have sufficient work experience either and is definitely not technical. Unfamiliar with scrum framework and it’s uses etc. Interview felt more like a consumer behaviour meeting; interviewer was more interested in getting to know how I shop online than to actually assess skill set relevant for the role. Came down for an interview through a referral but felt like I’ve wasted both my time and my money. Wouldn’t recommend anyone.",Easy Interview,Shopee
 Tell me more about yourself   ,No Offer,Neutral Experience,,Average Interview,Shopee
 how to sort in O(Logn) time   ,No Offer,Neutral Experience,"Asked me some question about sorting, very basic.it is not difficult, just not prepared that he will ask this type of question. I was prepared for machine learning related question",Average Interview,Shopee
 No difficult question being asked.   ,No Offer,Negative Experience,,Easy Interview,Shopee
,Accepted Offer,Positive Experience,,Average Interview,Shopee
 Tell me about your background.   ,No Offer,Neutral Experience,"30-minute call for the first round. Basically, just the HR person asking questions, felt that the person was breezing through a script as she was responding the same way throughout. The interviewer was not fully engaged even if you enthusiastically answer questions. Did not ask about any e-commerce questions at all, which was odd. Advised about the roles in the region and said that there could be several roles that they could place me in, but after a few days received a call that they decided not to push through.",Easy Interview,Shopee
 Linear classifier vs nonLinear classifier   ,No Offer,Neutral Experience,"there are three rounds, machine learning , big data and so on. 1round, main coding 2 question. 2round machine learning and coding algorithm part. 3round coding 2 questions.",Average Interview,Shopee
,No Offer,Negative Experience,,Average Interview,Shopee
 How would you plan for a online marketing campaign to incentivise more male consumers to shop on Shopee?   ,No Offer,Neutral Experience,"Call interview was scheduled first and it went well. However, recruiter asked for expected compensation benefits. Also, recruiter did not ask if I had any questions. There was no opportunity to ask further questions. Followed up with a marketing written test and was invited down to the HQ for an interview. Had an hour Long interview with head of regional marketing and it went well. Most questions were focused more on marketing application. At the end of the interview, she told me to stay out and a junior/senior associate then interviewed me. Total time spent in that room was 2hrs. Been two weeks since any follow-up. Am wondering if the HR will follow-up at all.",Average Interview,Shopee
" UDP/TCP , Space Time Complexity   ",No Offer,Neutral Experience,,Average Interview,Shopee
 What did you do in your previous company?   ,No Offer,Negative Experience,,Average Interview,Shopee
 Tell me about yourself   ,Declined Offer,Neutral Experience,Easy Interview but if you need your career to grow i suggest to change your mind because this is not good for experience people.. as the interview goes you can see through how would and what will happen if you continued the process..,Easy Interview,Shopee
" Stack, queue, lru cache   ",Accepted Offer,Negative Experience,,Easy Interview,Shopee
" Venn Diagrams - find AnBnC , TCP/IP header , Deadlock   ",No Offer,Negative Experience,,Average Interview,Shopee
 Please describe yourself   ,No Offer,Neutral Experience,Online and on paper test. Paper test conducted at Shopee office in Jakarta. There were many participants too. Only a couple pass the interview. Overall process is good and managed very well.,Average Interview,Shopee
 Why shopee? Why this position?   ,Accepted Offer,Positive Experience,,Easy Interview,Shopee
 based on my cv   ,No Offer,Negative Experience,"The recruiment process, which consisted of 3 parts, was fast. After sending my CV, I got a call from HR staff the next day to arrange an interview. The interview with her was quite boring to the extent that I don't think they even need to fill this position. And then I was told to do a 2-part test. Then, she called and told me that she thought I was experience enough for this position, which is a really lame excuse. Since when an intern has to be experience to be hired? Few days later, I found out that HR staff turned out to literally be an intern too lol (she is a fresh graduate).",Easy Interview,Shopee
 Tell me about your [x analysis] report. How did you structure it? What dimensions did you explore? How did you build the model? What were the findings?   ,Declined Offer,Negative Experience,,Average Interview,Shopee
 Have you ever bought something in Shopee?   ,Accepted Offer,Positive Experience,,Easy Interview,Shopee
 Most of the questions are about what I wrote on the resume.   ,No Offer,Negative Experience,,Easy Interview,Shopee
 It was an absolute waste of time.   ,No Offer,Negative Experience,,Average Interview,Shopee
 Why have you chosen to work for Shopee?   ,Accepted Offer,Neutral Experience,The interview was processed very fast in which more exploratory questions were asked rather than challenging ones. There're 3 rounds totally: HR Review - Line Manager Review - Director Review.,Average Interview,Shopee
,No Offer,Negative Experience,,Average Interview,Shopee
 Tell me about yourself.   ,No Offer,Negative Experience,"Unorganized hiring process. Passed all the interviews but they gave me a job assessment after the interview process and I got informed that the score was not the factor to determine my qualification but to see my familiarity in coding. I was informed that my test score was below the expectation and they could not proceed with the next step. My honest feedback? I do not feel valued as a potential employee. The job assessment should've done before the interviews, especially when the interview process is extremely long (it took 1.5 months and 4 rounds of interview). They were friendly but unprofessional.",Easy Interview,Shopee
 tell me about yourself   ,Declined Offer,Negative Experience,The interview was not a really great experience because all they asked about was information regarding my old employer. They didn't focus on my skills or what I could contribute and even brush off all my experiences and just wanted insider information on my previous employer. I personally don't feel it is a company that would encourage rotation or career growth from the interview.,Average Interview,Shopee
 the modeling process   ,No Offer,Neutral Experience,,Average Interview,Shopee
 Tell me a more about yourself.   ,Accepted Offer,Positive Experience,,Easy Interview,Shopee
,No Offer,Positive Experience,"You will have a first-round interview with an HR executive and if you pass the first round, you will move on to a face-to-face interview with the product management team.",Average Interview,Shopee
,No Offer,Negative Experience,"I applied through an inside source and got a call in two hours for a meetup in Singapore Hq. One of the worst HR department I ever saw. They are young and don't know how to ask questions and to be honest Shopee want to teach how to shortlist people. As a growing organization, you have to be more open in development ( the HR who interviewed me said: ""you are from this country and we believe this country is not a good fit for our background"". guys come on what type of question is this? a bit racist or senseless. I never recommend this company to anyone. The office is colourfull but the heart is dark.",Easy Interview,Shopee
 give three parameters about random forest.   ,No Offer,Neutral Experience,"there are three rounds, the management of this start up company is not that nice. first round two colleagues ask some basic questions from machine learning , sql , big data and so on. then give you a mini project. second interview subitted code, description and slides to them and present the results to another two guys. third interview: one to one with team lead. She didnt ask hash questions and told I was profession and will be offered. After that totally no response. I tried to call hr who contacted me in this long period, and hr lady blocked my phone number ........ so interesting ....................",Easy Interview,Shopee
 What is your goal?   ,Declined Offer,Neutral Experience,"Interviewed by 2 people, asked about interest in e-commerce. Personal goals and achievements. They asked what are other types of platforms and questioned what Shopee should provide to win their competitors",Average Interview,Shopee
 Tell me more about yourself   ,Accepted Offer,Neutral Experience,"Fairly simple, a one to one interview and was asked rather standard questions at the interview about experience and shared a little about my aspirations and values. Done in a jiffy, no technical tests or what so. Focus on sharing how you can value add the team and demonstrate that you're a keen learner.",Easy Interview,Shopee
" What I did before, why would I like to join Shopee   ",Accepted Offer,Positive Experience,"Structured & HR got in touch with me fast. Negotiation & interview was smooth as well. Interviewed with HR, Team Lead I was applying for, Team Managing Director & a teammate sat in.",Average Interview,Shopee
 What kind of position are you looking for?   ,Accepted Offer,Positive Experience,"GMAT math test (Data sufficiency) - however, the questions normally are quite lengthy to provide a context of what Garena and Shopee do in their business. Therefore, besides some logical and numerical skills, speed reading will be helpful as well.",Average Interview,Shopee
 What did you do in your college?   ,Declined Offer,Neutral Experience,We are grouped into a three people room. We are asked basic questions regarding our experience and what we know of the company. It was the first step which is HR Interview. Only one interviewer in one room. The three of us can know each other's answer.,Easy Interview,Shopee
,Accepted Offer,Positive Experience,"Interview by Seagroup but worked for Shopee, thus the disorganised structure. Interview overall is easy if you can share why you are value add to the job. Interviewer was nice and friendly but after just a few weeks of encounter with him, I knew what I was in for and his dictatorship leadership style towards his team. Anyone who work under him is miserable.",Easy Interview,Shopee
 Why were you rejected by ... firm?   ,No Offer,Negative Experience,Phone Interview. Very bad timing. Getting called at 930 pm. Interviewer was quite rude. No follow ups were given. Questions asked were standard but some were pretty absurd. Bad experience,Average Interview,Shopee
 what is Random forest?   ,No Offer,Positive Experience,"Normally, there are three rounds. The first two rounds are interviews with two staffs from their team. And the last one is mini project. And their people are quite professional and friendly.",,Shopee
