offer,experience,difficulty,interview,question,source
No Offer,Positive Experience,Average Interview,,,Amazon
Accepted Offer,Negative Experience,Easy Interview,They made the company seem like you were interviewing for the C.I.A. Which is s boat load of poo. They hired on the spot. Drug test proceeded and had to wait over two months before I actually got a start date., Why did you apply for this company   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,,,Amazon
Declined Offer,Neutral Experience,Average Interview,"Phone screen with a recruiter on the phone, then an interview with a Hiring Manager on the phone and 5 different people interview on site which was a all day event"," When was the last time you disagree with your manager, why and what did you do about it?   ",Amazon
Declined Offer,Positive Experience,Difficult Interview,"Most mentally exhausting process I have been through. Everyone was friendly and professional. No matter how detailed your STAR formatted answers are, be prepared to go deeper in response to detailed questions. The math questions can all be found here. However, the follow on question will almost certainly catch you off guard. I encourage you to work the problems here over and over until you know mechanically how to answer. It's basic math folks but you get 5 minutes to do the follow up. I don't stress easy, but it stressed me out a bit. Any way you will check in at security, be taken on a tour, enter a conference room be given a 15 minute problem. Then participate in 4 very in depth interview. One of them is going over the math problem to include redirect. The rest are behavioral.", Many behavioral on top of the Math work flow   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,Easy. No interview besides taking your online assessment. It's basically an orientation talking about Amazon meanwhile doing your own oral mouth swab for a drug test (10min) and also do a background check. They have you select what schedules you prefer. You at least have to work one weekend. Pretty self explanatory. Just waiting for my background and drug test to clear than we will set up a start date 🤗, You basically ask the questions lol   ,Amazon
No Offer,Positive Experience,Difficult Interview,"Amazon flew me to Virginia to meet their AWS support team, all expenses paid. The interview process is about 3 or 4 hours long and I met with 4 people. One meeting was via video chat. 3 of the people I met with were people I would be working with. The questions seemed fairly simplistic in nature, less than what I would've expected for the position. It seemed almost as if they were more concerned about the type of person and personality and how that fits with company culture rather than skill level. There are a lot of ""tell us about when..."" questions."," Tell me about a time when a client was not happy, what happened, and how did you handle that?   ",Amazon
No Offer,Positive Experience,Difficult Interview,"My application was submitted through a personal connection, and I got an email to set up an interview. I picked a date, and got no call. I then realized the times they offered were not in my timezone, so three hours later the interview began. My interviewer was very personable and would rephrase and clarify questions he had asked if needed."," If a server failed to do a nightly backup, what could be a reason for that?   ",Amazon
No Offer,Negative Experience,Difficult Interview,The interview process leaves a lot to be desired. I was scheduled on three separate occasions for a phone interview and each and every time the interviewer failed to call. This is not professional and definitely not the kind of work culture that I would like to be a part of.,,Amazon
Accepted Offer,Positive Experience,Easy Interview,"Applied online. Got an email three days later to drug test and get to know. I couldn't make it to my scheduled appt. So I chatted on their help chat to try to reschedule, they told me HR would look at my ""notes"" and put new timeslots on my job page. After about four days I got impatient and decided to chat with them once again. Got a new appt for a couple days later.", What days can you work?   ,Amazon
No Offer,Positive Experience,Easy Interview,,,Amazon
No Offer,Negative Experience,Difficult Interview,," Layer 2 switching, layer 3 routing, ARP, DNS, TCP/IP, BGP, OSPF, scripting and automation, flow control, ssh, how traceroute works, different kinds of traceroute, etc.   ",Amazon
No Offer,Negative Experience,Average Interview,,,Amazon
No Offer,Neutral Experience,Average Interview,,,Amazon
No Offer,Neutral Experience,Difficult Interview,"5 back to back interviews in person after two phone call interviews over two weeks. Paired up with a ""lunch buddy"" as well - so total time was 6 hours. Very little eye contact by interviewers - very odd.", What was the most successful program you did?   ,Amazon
No Offer,Neutral Experience,Difficult Interview,, why amazon   ,Amazon
No Offer,Positive Experience,,"An advice for everyone who wants to apply to the intern position at Amazon: Practice data structures - concentrate on speed as well as accuracy, the questions were not very difficult and the interviewers were very helpful and friendly.", Mostly technical questions   ,Amazon
Accepted Offer,Neutral Experience,Easy Interview,"I applied online and got an offer to go in for a group presentation basically to learn more about the company and take a drug test, also choose schedule and availability.",,Amazon
No Offer,Positive Experience,Average Interview,"I applied online and received an email response about 30 days later. I had 4 interviews over the phone due to job openings changing and communication issues on their end, none of which were a problem. I then went in for an in-house interview, I had five face to face interviews that day.", How would you allocate buy for a new business category?   ,Amazon
No Offer,Positive Experience,Average Interview,All questions were asked on 14 leadership principles of Amazon. First and second phone screen interviews are good with logical questions. Onsite interview with panel has high expectations from candidate., How do you resolve conflict?   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,"The ""interview"" takes place on line. They ask basic questions. For the most part they're common sense. I applied and was offered the job over email the next day. I attended the hiring event where I took a drug test, told them what shift I'd prefer, and took a badge photo. Once my drug screen and background check come through I will be assigned a shift.", What shift would you prefer?   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,, Can you take a drug test?   ,Amazon
No Offer,Negative Experience,,,,Amazon
No Offer,Neutral Experience,Difficult Interview,"I reached out through internal email to the hiring manager, met with them and their team, then was put in for a loop. My loop consisted of five sessions, with the hiring manager, two with other team members, one with a member from a related team, and one with the bar-raiser who is unrelated to the team.", They ask the usual behavioral questions looking for examples of their leadership principles.   ,Amazon
Declined Offer,Positive Experience,Average Interview,, I am under NDA and cannot elaborate but they were not difficult. If you are decent at software engineering and practice with Cracking the Coding Interviews then you would be able to do them easily.   ,Amazon
No Offer,Positive Experience,Average Interview,"A couple of telephonic rounds checking general work knowledge and work approach. Questioned in detail over the resume. Then multiple in-person interviews. Asked about actual work experience facts, approach. Behavioral questions and simple puzzle question.", Inquired about previous work experience.   ,Amazon
Accepted Offer,Positive Experience,,," I cannot give say the exact questions because of NDA. But definitely no different than medium difficulty questions around arrays, stacks, queues, hashmaps.   ",Amazon
No Offer,Positive Experience,Difficult Interview,"I spent two months interviewing with AWS, for a solutions architect position in San Francisco. There were three phone screens over the course of six weeks, and an on-site in SF, where I interviewed with five members of the team. They were obviously sensitive about the recent bad press, and each gave me their own take. And the responses were varied, but positive and honest. Everyone was pleasant, the questions relevant and challenging, but the process took too long. And it took them nearly a week to let me know I wasn't getting the job."," Technically, pretty much everything you see mentioned here. Most importantly, not only know, but be the Amazon Principles. Everything revolves around them. And they are very sincere and honest about it -- at least in my experience.   ",Amazon
No Offer,Negative Experience,Average Interview,There was an initial recruiter reach out and screen before being scheduled a phone interview with an in-house recruiter on the team I was applying for. Assuming the next steps would be an onsite interview to meet the team but have not heard back about feedback to move forward or pass. Moved quickly between first reach out and phone screens but has been about 2 weeks and no follow-up. Assuming they will not be moving forward but would have appreciated a quicker response or any response at all.," Interview questions included previous experience, why looking to move, what you'd like to do, sourcing techniques, number of sourced candidates vs hired, most challenging experience, successful story and work style.   ",Amazon
No Offer,Negative Experience,Difficult Interview,, Tell me about a time you failed.   ,Amazon
Accepted Offer,Negative Experience,Easy Interview,"On mid March applied, by the end received an email for a hiring event at Hyatt Place Riverside for April 6th. Simple swab drug test some paper work for a background check & a pic for a badge. By the 8th receive an offer/congratulations email, kept receiving emails stating New Hire Orientations date are being finalize. Jump to June 21, went in for another swab test since first one became invalid. Still waiting for that start date!",,Amazon
No Offer,Neutral Experience,Average Interview,I had applied for an area manager position for a new up and coming building. I am already with the company so i found the job on our internal transfer webpage. I emailed HR several times (2 months) before getting a phone screening that led to a POD interview that i had to cancel my personal vacation because i felt that after all the effort i went through to get the interview it would look bad on my part if i declined the interview given to me. The interview was not as bad as most would think. I was not nervous and it made it easy to give my all without worrying about the outcome., Tell me about a time you had to give difficult feedback to an associate and how did you handle it?   ,Amazon
No Offer,Positive Experience,Average Interview,One telephonic round followed by an onsite interview. The interview lasted 3 hours and there were four rounds. The focus was on the projects that I had on resume and lot of basics of networking questions., Basics of network troubleshooting and a few questions on clustering.   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,, Name a time where you made a change to something and how was that change taken by your peers?   ,Amazon
No Offer,Positive Experience,Average Interview,"I received first a 20 minute call, then a full interview call. They were very good about keeping all the recruiters involved informed. I was very happy with the recruiters I worked with.", Why did you want to work for Amazon? Study the Amazon leadership principles!   ,Amazon
Accepted Offer,Positive Experience,Average Interview,"Loop with 5 separate interviewers, plus a very low key lunch interview. Questions were all based on the company's leadership values. Some interviewers let you know which value they are interviewing for, others leave it up to you. Interviewers largely went out of their way to make me feel comfortable.", What was a time where you made a decision and it ended up being the wrong decision? How did you handle it?   ,Amazon
No Offer,Positive Experience,Average Interview,,,Amazon
No Offer,Positive Experience,Average Interview,,,Amazon
No Offer,Positive Experience,Average Interview,, What is the correct line of code to get this particular output.   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,"Long interview process - but worth it. Had one 45 minute phone interview.. two weeks later met with about 4 people in person in Seattle. They ask you mostly behavioral ""tell me about a time when"" questions.. As long as you study the Leadership Principles and relate them to your work/leadership experience, you will be fine. It was a very difficult interview but also fun. My interviewers were very accommodating, personable, and SMART. It was awesome to learn about their experiences at Amazon.", Tell me about a time when you improved a customer's experience.   ,Amazon
No Offer,Negative Experience,Difficult Interview,,,Amazon
Accepted Offer,Positive Experience,Easy Interview,"Went to the jobs page and created an account. Applied online, went through the basic questions and personality test took about 15min. Got an email 5 days later that said they were going to be picking people to come in for a hiring event within the next 2-4 weeks. 2 days after that I got another email saying to schedule a time slot for hiring event.", Are you aware the questions here correspond to the job you will be doing?   ,Amazon
No Offer,Neutral Experience,,, Standard interview questions   ,Amazon
No Offer,Neutral Experience,Average Interview,I applied online. I got a phone interview after 2 months. I was pretty surprised when I got the phone interview. The interviewer asked me several behavior questions for the first interview. He is a really nice guy and really informative. Remember to take some notes during the interview and you can use them in your next interview and ask questions about it., Tell me about yourself.   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,"3 Phone Screens, 1 interview loop. First phone screen was technical and covered broad range of Networking, Storage, Big Data, Databases, AppDev, Architecture concepts. Next two covered my experience relative to 12 Amazon's Leadership principles. I signed an NDA for the on-site interview, so I won't reveal those details, but having the 12 Leadership Principles mapped to your experiences is the best way to make a good impression"," Know the 12 Leadership Principles, they're looking for a culture fit.   ",Amazon
Accepted Offer,Negative Experience,Difficult Interview,"The interview was very difficult. It took me five hours straight, non stop. I didn't have the opportunity to eat. Managers were rude. Some would interrupt. Some were friendly. Basically it depends on your luck.", Scenario questions   ,Amazon
No Offer,Positive Experience,Average Interview,Conversed with manager on non-technical related items relating to my experience in the industry and so on. Was given a couple technical questions relating to data-structures and algorithms. Afterwards there were more personal questions relating to work behavior and ethics. Discussion was pretty standard and had a casual feel to it. Nobody pressured me or asked difficult questions about my previous jobs., 'Actual programming' puzzle relating to Big-O Notation and algorithm timing.   ,Amazon
No Offer,Negative Experience,Average Interview,"Hour long phone interview. Some of the programming questions asked made it difficult to show my strengths and skills. Even though I talked through the problem, the solution that I came up with was incorrect, so I wasn't given an opportunity to advance through the interview process."," Given a directed graph, design an algorithm to find out whether there is a route between two nodes.   ",Amazon
No Offer,Negative Experience,Average Interview,Phone interviews plus one onsite interview. Interviewed with 6 people from a variety of departments. Each was preprogrammed with questions. At the end of the 6 hours they sent in the HR perks who began to take to me about compensation. She told me I made more than the CEO ( no including his stock) and that I would have to be willing to work for about half of what I was making. Their turnover rate is very high but if you make it 2-4 years in you may begin earning enough in stock to make up for th else. Highly suggest experienced people look elsewhere unless all you want is the Amazon name on your resume. The could have saved time and costs by discussing the compensation prior to brining me to Seattle. I wasn't willing to take the reduction and let them know that prior to leaving.," All questions were expected to be answered in a format that is acceptable at Amazon, very unusual. They were looking for an Amazon robot not someone with a brain.   ",Amazon
Accepted Offer,Positive Experience,Average Interview,I think I should get the job sir or mam I will reach my goal and be pleased to get the job and be honor and keep you the business good and growing and this well help me out.,,Amazon
No Offer,Neutral Experience,Easy Interview,"I applied online and was sent a set of basic questions about my experience and openness to relocation. I replied and 3 days later was informed that I had been moved to the next step and that another person would contact me to coordinate. 10 days later I received an email letting me know my interview time and date (2 days later), name of interviewer, and some instructions. The interviewer called on time and introduced himself as a senior operations manager for the company. He had started as an area manager and worked his way up in 5 years with the company. After his Bio he asked me about my current position and asked about a time that I had improved a process. He asked a few questions to get more details of my examples (did your supervisor like the improvement? Did the company implement the change to other departments? Etc.) and then asked if I had any questions for him. I asked a few questions about his years with the company and ability to move around within the company. He was nice, professional, and polite, but seemed a little disinterested. After answering my questions he said that he would submit his feedback to HR and I would hear something soon. As instructed in the coordinators email after 5 business days had gone by with no response (I waited 7 business days) I emailed my recruiter who sent me a rejection letter back same day.",,Amazon
No Offer,Neutral Experience,Difficult Interview,"The Interview took place in three phases. The first round was an aptitude test along with some coding questions. The second round was a programming round. I had to solve two coding challenges in one hour. The third round was an onsite interview. On the day of interview, teams of 3 were formed and a project was assigned to all the teams. We had to pick up tasks and program our part in language of our choice. There were two one-o-one interviews for 45 minutes each", Some project related questions like choice of datastructure and how would i optimize the code   ,Amazon
No Offer,Positive Experience,Difficult Interview,, My question was an in depth exploration of hashmaps. Covered how they work with a focus on algorithmic efficiency.   ,Amazon
No Offer,Positive Experience,Average Interview,"I had an hour of technical phone screening. The interviewer was quite helpful, the whole process was calm and unhurried. But then I ran out of time for one of the questions and he did not give me any extra time. Getting the time complexity right is important. One other point was that I did not indent the code on white board and only realized it when he pointed it out to me.", I had two questions: One was the Djikstra's shortest path algorithm and the second was to find the missing element in the array.   ,Amazon
No Offer,Neutral Experience,Average Interview,"Onsite interview. meet at their headquarters in 8am, and starts the group interview. The interview starts at 9 and ends at 4pm, and you will be assigned to a group which consists of 3 candidates, and work on a project that they had. The project was divided into 3 parts, and there is no side affect from other's result. Your task is relatively independent although your group is doing the whole project.", Group interview project   ,Amazon
No Offer,Negative Experience,Average Interview,," Market sizing questions to determine if you know how to ask questions, estimate, etc. Quite pointless questions and has nothing to do if you can do the job.   ",Amazon
No Offer,Neutral Experience,Difficult Interview,"Went through two phone interviews and was invited for on-site interviews in Seattle. There were full day of interviews with hiring managers, other TPMs and developers from multiple teams. Most answers were probed into and further questions were asked.",,Amazon
Accepted Offer,Positive Experience,Easy Interview,,,Amazon
Accepted Offer,Positive Experience,Easy Interview,"The interview process was extremely simple and stress free. It wasn't a ""traditional"" interview in the sense that it was 1 on 1. It was more of a presentation given to a group of potential candidates where they tell you all about amazon and the different positions within fulfillment.", Can you pass a drug test and a background check.   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,"It was quick and very basic,they want to know how you handle with conflict and stressful situations. They ask you If you are comfortable working from home and how far do you plan to stay with the company and what other careers do you want to pursue.", How do you handle conflict?   ,Amazon
No Offer,Positive Experience,Average Interview,"There were 2 online assessment tests. The first assessment was of 90 minutes. This test was having 3 parts: debugging , logical reasoning and code test. The second assessment was 2.5 hours long test.", pick 2 numbers from array with given maximum sum   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,There was no Interview for this job. Once applied you give an orientation date and go in for that orientation for a up to 3 hours. Once orientation is done you get your start date and get trained in your process on that date., none   ,Amazon
Accepted Offer,Positive Experience,Average Interview,"I was referred by my friend in November, got OA email in January, and after I will take the interview on Fab. 3rd. The online assessment contains only 7 easy debug coding questions, two days after I submitted OA I got their email schedule a phone screen interview. The whole process was pretty fast.",,Amazon
Accepted Offer,Neutral Experience,Difficult Interview,, data STRUCTURE   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,"I was hired when they first opened, so I was one of the hundreds they hired as long as you passed the drug test and had proper ID to work in the US.", I did have to take a personality test. It wasn't hard but it took a while as it was pretty extensive.   ,Amazon
Accepted Offer,Negative Experience,Easy Interview,I applied for a job closer to my residence than the job for which I was asked to interview. The interview was a gang bang. Totally useless in sorting idiots and criminals from people who were there to work., Nothing significant. This company will hire anyone to staff the warehouses. There main problem seemed to be e-verify. Because my passport had expired six months before the interview I was told that I was not a US citizen and was not paid for my first four weeks.   ,Amazon
No Offer,Neutral Experience,Average Interview,Phone interview. Behavioral and some case questions. Not too hard but most behavioral questions were negative. Interviewer introduces themselves first and then introduce you to what they do in Amazon. My specific question was related to his job., Tell me one time you disagreed with someone.   ,Amazon
No Offer,Positive Experience,Average Interview,"Solid overall process, spoke with multiple individuals within Amazon and they asked a lot of questions regarding my knowledge of dealing with Human resources and managerial situations because I was applying as an HR intern", What would you do if your call center was facing challenges specific to a problem   ,Amazon
No Offer,Positive Experience,Difficult Interview,I knew someone at the company who forwarded my information to get me the initial interview. Had two phone calls with HR but didn't advance past that process. The technical questions were fairly difficult. Behaviorals were not bad at all. The interviewer was very pleasant and helpful through the process. Good communication and good experience overall despite the result., I can't answer that because of the NDA I signed   ,Amazon
Declined Offer,Neutral Experience,Average Interview,"Good interview, very long process, 15-20 people met during interview. Spanned over 2 days. Feedback took approximately 3 months to receive and was nebulous. Ended being offered a different position than what was initialy planned.", Describe an accomplishment...   ,Amazon
No Offer,Negative Experience,Difficult Interview,"A written questionnaire about skills is required in addition to your resume, a writing sample similar to a law school exam, 3 phone interviews- questions were hypothetical. I was told I was going to move to the next round, then was never contacted again for 2 different positions. Recruiters completely non-responsive.", It was a hypo about IT contracts and resellers and how you would get a reseller to give you a warranty for a protect they did not manufacture and a bit more on the negotiation process and advising your client.   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,Long process. Usually a phone interview followed by a virtual interview or on site interview. Interview was behavioral and very in depth to personal accomplishments. Very long process. Took about 4 hours for final interview, Tell me about a time you failed   ,Amazon
No Offer,Negative Experience,Difficult Interview,"bad experience, Amazon flew me down to Florida and even gave me a rental car, but the interviewers were very unprofessional. The interview lasted about two hours. was not offered a job", how i acted in certain situations   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,Two 1:1 interviews with current area managers. They went through case studies to see how you would handle it. They also asked in depth questions about leadership experiences. It was fairly laid back.,,Amazon
No Offer,Negative Experience,Average Interview,"I interviewed and was told I would be notified in a week, and was turned down within less than 24 hours. I found out because the online amazon jobs tracker, I am unsure if it is accurate but I do not know how they reviewed my information so quick when there were at least 6 other people interviewing as well."," ""Remember a time when..."" they want experiences   ",Amazon
No Offer,Neutral Experience,Easy Interview,"Applied in Feb 2016. Got an online test consisting of 7 debugging questions. Tests your language skills. Pretty easy.Unfortunately, alot of us got a mail stating cap full for internship positions. No clue how everything proceeded - probably FCFS",,Amazon
No Offer,Positive Experience,Average Interview,"It was pretty quick process. It took one month with phone screen + onsite interview. Applied through Employee referral. First phone screen with coding challenge. Second, 5 on-site interview process in Seattle.", Difficult question I found was a System Design question.   ,Amazon
Accepted Offer,Positive Experience,Average Interview,"The interview loop is several hours; usually 4-5 people from the team you are applying for. They start out by asking you to solve various engineering problems, expanding on your solutions if there is extra time left at the end. There is a one hour lunch break.", Design an algorithm to detect black and white pixels and use it to write a bucket fill function for an image.   ,Amazon
No Offer,Positive Experience,Average Interview,"The onsite interview started at 8:15 and ended at about 4 pm. I was put into a group of three, with other candidates. We were supposed to finish a project and there were 3 tasks in this project. We spent almost the whole interview time to finish the task except that there was one 30 minutes and one 15 minutes one-on-one interview to discuss my solution.", I am not allowed to share the interview questions with others.   ,Amazon
No Offer,Negative Experience,Average Interview,"Initially i cleared two online assessment, which was fairly simple to solve. The first online assessment has a logical reasoning, debugging and small coding problem. The second online assessment contains work simulation and two coding problems. After the two rounds, they called me for an onsite special interview at Seattle. It was a 30 minute interview and an informational session with different SDE teams. However after a week again they sent me an email that the special interview is filled up and invited for a group interview. I don't know what kind of hiring process they use. Someone who don't know how to write a simple addition program got selected in Amazon through video interview. It seems that Amazon hiring process is very unfair."," Since i have signed an NDA, I cannot tell the interview questions. But basically its a project where you can choose any module and you will have roughly 6 hours to complete the project.   ",Amazon
No Offer,Neutral Experience,Average Interview,"Two online assessments and then an onsite group interview. The whole process took about three to four weeks. The two OAs are not hard. The group interview took a whole day and we were put into groups of three, each of us selected a subproblem of problem. Actually these problems just have some background relation with each other so we don't really need to depend on the output of others' program. Group members can discuss and help each other.",,Amazon
No Offer,Neutral Experience,Difficult Interview,"phone interviews. No response, even though the interview went moderately well. Feedback allows one to know where they stand. I wish they were more forthcoming in what they are looking for.", How do you scale a scheduler?   ,Amazon
No Offer,Neutral Experience,Difficult Interview,, A big project for 4 teams each with 3 people to do.   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,I got the job through an employer called ISS. The interview is depressing and so is the orientation. You wont be amazed untill they actually bring you into the warehouse so dont los hope. Its a great place to work!, Have you had any experience working at a warehouse?   ,Amazon
No Offer,Negative Experience,Average Interview,"A 8 hour on site cluster of people from the Seattle Legal team basically asking the same questions in different ways. No alignment between the expectations of the hiring Manager, the VP or subordinates. A lot of turf building going on with limited accountability for the transparency of their records. In the end, they end up hiring their prototypical barely out of college and far less experienced candidate that will likely be easier to conform to the brainwashing occurring there. What they do to compensate for their apparent discrimination is to string you along and tell you that they are not saying you aren't a good fit, but that they will wait to find you a better position later. I suppose that gives them a pass with the EEOC and maintains future customers.", Tell me about a time you had to implement something for people that were not geographically close?   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,This was one of the longest on-site interviews. Everyone was very thorough and meticulous in tech questions. The whole process was intense talking to one person after another. It was very tiring in particular towards the end of the interview loop., How to design the transportation network for warehouses   ,Amazon
Accepted Offer,Positive Experience,,"my interview was on April 18th and my orientation was on April 26th.. my state date was suppose be today, 05/06/16 and they called saying that my background are in pending. I'm disappoint about this, i was ready to start to work.", which is contingent on a background check?   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,"Known as a loop, the Amazon process is 100% about asking you situational questions. Equally important to highlight your big wins AND losses/misses. There is a big value in acknowledging what you would now think of as mistakes but at the time may have been the right decision.", Tell me about a time when you used data to make an important decision...   ,Amazon
Accepted Offer,Positive Experience,,"Signed up for a phone screen, first round interview on an excel sheet, where it was very casual. Interviewer asked me mostly all behavioral/resume questions, with some technical questions here and there. Nothing too difficult. Then, a week later, I get an email informing that I have reached the final round interview, and since I am not in Washington State, the final round consists of 2 back-to-back 45 minute interviews. The first interview is about an excel case that is given to you a few before. The whole interview is very in depth about the excel case, with several ""what if"" questions. Make sure to prepare a lot for this. The second interview is a mix of behavioral, case questions, and technical questions. I found the second interview with the mini-case questions to be tougher than the first one. Then, the next day, I got an email telling me I got the job. Overall, the whole process went very smoothly and everyone was very nice and accommodating, and I'm excited to work there!", How do you define success?   ,Amazon
Accepted Offer,Positive Experience,Average Interview,"First there was an HR Screen Call then an Initial Interview Call and then finally a Back to Back Interview Call (in reference to case)... Phone screen was all behavioral. In the second interview, the guy was an absolute jerk (but he ok'd me), and the back-to-back wasn't easy but definitely manageable."," Good mix of behavioral vs. technical... the technical wasn't very numbers heavy... mostly stuff like in this given scenario, what are three things you would look for?   ",Amazon
No Offer,Neutral Experience,Average Interview,Your typical phone screening questions. Nice interviewer and asked your standard interview questions. Had concerns after reading the New York times article describing the corportate culture. Did not ask the questions about that article wish I would have. Spoke to former employees and got mixed reviews on the overall company and thought it was worth a try., Tell me about yourself   ,Amazon
Accepted Offer,Neutral Experience,Average Interview,"Interview was first a phone interview, then an extensive online qualification testing, then meeting with HR for the final interview and face to face paperwork signing. Overall the interview process was smooth and effortless, and required very little combined time.", Prior experience in customer service   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,They email you to come in and they will talk about the jobs and walk you around facility. Email you again for orientation. Couple weeks later email you again start date, No interview questions   ,Amazon
Accepted Offer,Negative Experience,Difficult Interview,They asked a seriously a lot of questions. Like why would you be a good fiit and so on. What makes you interested in amazon and what you like about amazon. How did you about amazon., What experience do you have.   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,Round robin of interviews and a presentation to a group. It was a role play that required a significant amount of prep. It was based on a bank going digital, Provide and example of a deal you won   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,"I was phone interviewed after a few days after I went through their online application process. They liked me, and offered a job. I politely declined. Overall, a pleasant, easy going process.",,Amazon
Accepted Offer,Positive Experience,Easy Interview,Online application then more questions via email and recorded answers. Amazon believes in the customer being first and foremost. Questions centered on this. All done online format and communication is done on your dashboard when creating account, Experience with work at home   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,"It was a long day! 6 different interviews back to back with a lunch date with a team member in the middle. It was intense, but very laid back, all things considered. They asked 100% behavioral questions that were all geared towards the Amazon leadership principles. I was very relieved that I had studied them previously. Do yourself a favor and prepare a million ""tell me about a time...."" situations and answers. They were super friendly and inviting and very quick with their scheduling and follow ups. Overall a very positive experience!", All the questions were behavioral. 100% of them.   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,"wait for hr, meet two managers, written test, chatting with them, sharing life and work balance concept, hobbies, fav food, fav countries, last vacation spot, fav colors, fav pop-satrs, then wait again for hr, to give me response, finally wait more than 10 days, someone called me to give me an offer", Sharing your life   ,Amazon
No Offer,Neutral Experience,Difficult Interview,I just applied through the website and it took about more than one month to hear back. The first interview was pretty difficult. First one is about A/B Test. Second one is about AWS. The final one is my project stuff. There were no SQL coding at all., Use one statistical method to build a test for the effect of amazon improve system.   ,Amazon
No Offer,Negative Experience,Difficult Interview,"I applied online, did an online assessment, and within 24 hours got an invitation to fly out to Seattle. The interview process was all day and actually fairly fun. We got a tour of the headquarters - they are nice, but fairly blandly corporate. Employees can bring their dogs to work though, which is nice to see. Everyone I met was very invested in the company.", Did the strategy you chose end up hurting the customer?   ,Amazon
No Offer,Positive Experience,Average Interview,"I applied online, then got an email saying they'd like to interview me. I had an initial phone call interview that was very easy -- just ""walk me through your resume"" ""tell me about yourself"" etc. Then, a few days later, they scheduled 2 back-to-back phone calls for the next week. Those were more technical -- they had me talk about how I would solve a certain issue and for definitions of certain terms.", Asked about Amazon's COMPANY VALUES   ,Amazon
No Offer,Negative Experience,,, Why do you want to work for AWS? How do you manage priorities? What leadership principle stands out most to you and which do you think would pose as a challenge?   ,Amazon
Accepted Offer,Positive Experience,Average Interview,five round process focusing on one each of Amazon principles. Prepare data structures very well. Technical situational questions. Prepare on Amazon principles which are available in Forbes articles. Overall the interview process was smooth.," Under NDA, cannot reveal   ",Amazon
Accepted Offer,Positive Experience,Easy Interview,"I applied online, the application is fool proof, it's just general yes/no questions. I received and email a few days later to schedule the drug test and interview. When I showed up it wasn't an interview it was just more info about the company and drug test and choosing whatever shift you can work. After that you wait for an email which took about another week to schedule orientation and orientation would be your first day of work and you would continue the rest of your work week the next day.", What shift can you work?   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,"It was a group session of at least 20 people, we went over the daily job functions, management, safety, training days and the benefits of working for amazon. We also had to summit a drug screening and they gave us the days to follow up with training.", It was a group session they gave us words and we had to say what it means to us.   ,Amazon
Accepted Offer,Neutral Experience,Easy Interview,"There is none. You apply in detail online and they ask you to attend a hiring event. At the hiring event, you learn that you are actually hired without an interview and they have made an offer to you. So youre called in and hired contingent on your background and screening results.", Are you ready to be an Amazonian?   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,"Not a normal 1 on 1 interview, you are brought into a big room with lots of other new hires, where they tell you about amazon and how things work there and are also drug tested during this time, it's more of a ""hey you got the job here's what you will most likely be doing"" if you pass the drug test.", are you allowed to wear lose clothing ?   ,Amazon
No Offer,Negative Experience,Average Interview,It was terrible. The hiring manager must have told me three times she did not know why I was included. I finally ended the interview as I had no idea why she wasted both our time., Do you use Amazon? How could we improve the service?   ,Amazon
Accepted Offer,Negative Experience,Easy Interview,," They didn't asked anything, only personal questions like name, etc...   ",Amazon
Accepted Offer,Positive Experience,Easy Interview,Very easy. You fill out the application and pass a drug test and background check. There isn't really an interview. I went during a job fair at the facility. It makes the process faster if you fill out the application before you go in. They only hire direct a couple of times during the year. It is best if you do not go through the temporary company and get hired directly., Can you lift up to 50 lbs.   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,"There was actually no interview. It was only a drug test, orientation and tour around warehouse. The orientation was kind of lengthy because they give you the history of Amazon, do's and don'ts of warehouse, safety tips, eyc.", Who is the founder and CEO of Amazon?   ,Amazon
Accepted Offer,Positive Experience,Average Interview,"Usually, you will get one phone interview then you go onsite. The phone interview was average and the interviewer was friendly. The onsite was about 6 hours and I meet about 6 different interviewers.", The phone interview was a merge sort question.   ,Amazon
