interview,question,offer,experience,difficulty,source
"After several emails with multiple HR personnel to schedule the interview, I interviewed directly with the hiring manager. The manager was very positive and the interview went well. She said they would be in touch to schedule the follow-up interview, but then I never heard another word. I emailed the HR reps who had previously booked the interview and the hiring manager, but no one responded to those contacts.", How would you manager a large group for training.   ,No Offer,Negative Experience,Average Interview,Amazon
," In the final round every interviewer asked me a failure question and ""tell me when you had a complex problem"" question. That was a bit unexpected since I thought their questions would at least vary a bit. Even though I had answers to those questions, I did not have 5 different examples. Prepare many examples!   ",No Offer,Negative Experience,Average Interview,Amazon
This is my sixth to seventh interview I have worked in a number of different reputed companies and I am currently interviewing for L&D department work in your company. Would you please take me into your company I will do my best to do the best I can, Do you manage your department?   ,Accepted Offer,Positive Experience,Average Interview,Amazon
, What is the cloud   ,No Offer,Negative Experience,Average Interview,Amazon
, Questions relevant to 14 Leadership Principles   ,Accepted Offer,Positive Experience,Average Interview,Amazon
Got a mail from recruiter before 3 days of interview. First round coding second design .first round comprise dsa questions and second round is mainly of current work and architecture. Overall good one .,,No Offer,Positive Experience,Difficult Interview,Amazon
,,Accepted Offer,Positive Experience,Easy Interview,Amazon
"Everything went smoothly after one video conference i wen next to a meeting face to face in london, all costs has been reimbursed. After that I had a finall interview with someone form the usa through a video conference.", How do you solve dificult situations in facor of the client or yourself?   ,Accepted Offer,Positive Experience,Average Interview,Amazon
"Very straightforward, I was referred by an employee and got an email asking for my availability for a phone interview. I was assigned a recruitment contact and asked to get familiar with their leadership principles and the STAR technique. I was interviewed by someone doing a similar role to establish if I was a cultural fit.", Describe a difficult situation you encountered with a customer/partner and how you dealt with it   ,No Offer,Positive Experience,Average Interview,Amazon
,,No Offer,Neutral Experience,Average Interview,Amazon
My interview process took nearly 1 month There was 30 vacancy. They were taking interview for 4 different batches on different days for the same vacancy. 1 st round grammer test 2nd round apps and 3rd round Hr and 4 th round Manager. The 1st 2 rounds were kept on one day and another 2 rounds on another day. All the candidates who got selected in the 1st 2 rounds are asked to cone on single day for 3rd and 4th round.It was really very slow process. Even for the final results we were waiting for 1 week. Immediate results will be helpful for the rejected candidates.," Self introduction, about amazon, logical thinking questions,changes to be made on amazon site, services of amazon   ",No Offer,Negative Experience,Difficult Interview,Amazon
8 rounds of 1 hour STAR interview process was followed and finally rejected. There was no reason to conduct 8 rounds to make an assessment. A good interviewer will be able to find out in max 3 rounds. Waste of time., Why Amazon?   ,No Offer,Negative Experience,Average Interview,Amazon
"I had applied on Amazon website After 2 days, HR sent me an email for telephone invitaion. They ask your available date in 2 weeks. Recruiter from HR called me. The interview took approximately 35-40 minutes.", Tell me about yourself   ,No Offer,Neutral Experience,Easy Interview,Amazon
, Standard behaviour questions - focus on leadership principles   ,Accepted Offer,Neutral Experience,Average Interview,Amazon
"Uploaded my resume online, whereafter after 2 months they got back at me. They sent me a link to record a video and a numerical test which I both had to fulfill within 5 days. They also sent an excel data file where they would also ask questions about in the video. The questions were computerized and about the data file and soft skills.",,No Offer,Negative Experience,Average Interview,Amazon
, Tell me about yourself   ,No Offer,Positive Experience,Easy Interview,Amazon
The interview take place for two days.1st day you have 2 aptitude rounds..next day you have 2 face to face interview rounds..and they said we will mail you wheather your selected or not..this is the procedure we go through in Amazon they said!, Analaytical question related to lights on and off   ,No Offer,Positive Experience,Average Interview,Amazon
I applied online and had a phone interview with a practice manager. The interview felt scripted. It wasn't a conversation about what the role was about or my motivation for joining the company. The interviewer went through his leadership principles questions and showed no interest in my CV. He wasn't interested in determining if I actually had the skills for the job. He honestly didn't make me want to join the company., Tell me about a time where you disagreed with your manager   ,No Offer,Negative Experience,Average Interview,Amazon
"The interview process consisted of 2 separate interviews each with 2 members of staff, and then followed by a language test of 1 hour. The language test was mainly translation work.", whether I was familiar with the job described and provided me with any additional details on the job descriptions I was not aware of   ,No Offer,Positive Experience,Average Interview,Amazon
before technical round we had a test consisting of 2 coding questions and 30 MCQ's. after crossing this level u will be having 4 technical interview rounds 40 minutes each. Give your best and wait for result.,,Accepted Offer,Positive Experience,Difficult Interview,Amazon
"The recruiting specialist getting in touch with me was great. Very helpful, sending over preparation documentation. Also did recruitment have a prep call (15 min) with me prior to the first phone interview.", A few competencies were tested (based on the 14 leadership principles). Among others ownership and bias for learning. Where examples were asked from my previous experiences.   ,No Offer,Positive Experience,Difficult Interview,Amazon
First round is offline apptitude and english written test. Second round psychometric test followed by online apptitude including java and sql. It takes one day process. If you qualify you will call for next round i.e technical face to face and HR round within a week., What do you know about content review?   ,No Offer,Positive Experience,Average Interview,Amazon
,,Accepted Offer,Negative Experience,Easy Interview,Amazon
"The application for this job posting was accepted in English only, and all the e-mails for the phone interview were sent to me in English. That's why I prepared myself for the interview also in English. But the talk started in German and the the person on the phone also told that the tasks would be in German. I was still able to go through but it was a big turn-off for my motivation, which in the end affected my performance. It was a waste of time for me, both the preparation and the interview itself, as it wasn't a German position that I wanted and thought I applied for.",,No Offer,Negative Experience,Easy Interview,Amazon
, Tell me a time when you had to dive deep to find a solution to a problem.   ,Declined Offer,Negative Experience,Average Interview,Amazon
"The process was like any graduate job, with an online application, online tests and video interview. Compared to other applications, this one was processed quickly. The Assessment Centre consisted of a group exercise in pairs, an individual exercise and two one on one interviews which were based on the Amazon Leadership Principles.", Why Amazon?   ,No Offer,Neutral Experience,Average Interview,Amazon
,,No Offer,Positive Experience,Average Interview,Amazon
Had to complete a test and 3 half an hour interviews with 3 different managers from different positions and different background that already work at Amazon. The process was stressful at the beginning but after the 1st interview you get the gist of it, Focused on Amazons leadership principles   ,Accepted Offer,Positive Experience,Difficult Interview,Amazon
"The onsite process consisted of 2 interviews, both of the interviewers asking me questions related to amazon principles and one technical problem. Apparently they value those principles a lot, because I have done the technical part quite well, but somehow they were expecting more detailed answers on those principles.", One problem was related to graph traversals and the other similar to LRU cache.   ,No Offer,Positive Experience,Average Interview,Amazon
"The company has multiple interviews, quizzes, and steps to check on your personality and if it would fit the company. It takes it time but overall it is worth the shot.", General questions on your personality and how you would develop in the workplace   ,Accepted Offer,Positive Experience,Average Interview,Amazon
," Typical Networking questions including DNS, DHCP, TCP/IP   ",Accepted Offer,Positive Experience,Average Interview,Amazon
,,Declined Offer,Negative Experience,Easy Interview,Amazon
, Time you showed leadership   ,No Offer,Positive Experience,Average Interview,Amazon
"2 telephone interviews and 1 on site interview. Written assessment sent before on site interview. You are required to complete SHL assessment too. Overall, nice and easy process. I did not get the job. But, I am satisfied about the experience I gained throughout the whole process.",,No Offer,Positive Experience,Average Interview,Amazon
"After a long wait from the initial application, I got an email asking me to take part in a series of online assessments, the first one was rather easy, had to find problems in code and fix them, the second was 2 algorithms and data structures questions and a personality test of some sort. If you pass those they might contact you for a 1-1 interview.", Length of the longest palindromic substring.   ,No Offer,Positive Experience,Average Interview,Amazon
"Two telephone interviews followed by four in-person interviews at their offices. The telephone interviews were fairly standard, but the in-person interviews were quite intense and reminded me of an assessment center more than an 'interview'.","In addition to the usual questions that you will easily find online, I faced a lot of questioning as to why I wanted to move from my current role (working in finance) for a potentially lower-paying position at Amazon. They really drilled down to see if I was actually interested in tech, or if I was just looking for a way out of my finance job.   ",No Offer,Positive Experience,Difficult Interview,Amazon
"Got placed through campus at one of the top IITs for CSE. There were 3 technical, 1 behavioural and 1 HR rounds. Focus was more on the approach to solving problem. Interviewers were friendly and nice. Had to explain the approach first and then write correct and complete code on paper",,Accepted Offer,Positive Experience,Average Interview,Amazon
,,Accepted Offer,Positive Experience,Average Interview,Amazon
," There are confidential, but mostly around their 14 principles   ",No Offer,Positive Experience,Average Interview,Amazon
,,No Offer,Positive Experience,Difficult Interview,Amazon
First stage was a 30 minute phone interview asking a bit about myself and behavioral questions. Second stage and final stage was three in-person interviews at a fulfillment center. Each interview was around 45 minutes and mainly asked more complex behavioral questions.,,No Offer,Positive Experience,Difficult Interview,Amazon
"The whole process consists of three phases: Group Discussion, Case Study, and Personal Interviews. Group Discussion was very general. The case study was based on the current scenario of voice assistance in India. The interview round was based on the case study and prior work experience if any.", How would you improve the efficiency of your team?   ,Accepted Offer,Positive Experience,Average Interview,Amazon
,,No Offer,Positive Experience,,Amazon
,,Accepted Offer,Positive Experience,Difficult Interview,Amazon
A 2 online coding challenge then an online 'simulator' of a day in the life. There was no human feedback and they took 6 months to get back after I finished the online section.," Basic time complexity problems, alongside some simple coding   ",No Offer,Negative Experience,Average Interview,Amazon
"After being contacted by email, I received a call from HR. I passed the screening process and had an interview focused on Amazon's prnciples. After that, I had a call with two senior managers asking me technical questions.", When wa the last time you had to take an important decision without consulting your manager   ,Accepted Offer,Positive Experience,Average Interview,Amazon
,,No Offer,Negative Experience,Difficult Interview,Amazon
,,No Offer,Positive Experience,Difficult Interview,Amazon
,,Accepted Offer,Positive Experience,Average Interview,Amazon
, Why do you want this job   ,Declined Offer,Positive Experience,Difficult Interview,Amazon
,,No Offer,Negative Experience,Easy Interview,Amazon
Really Good way of conducting interviews and transparent. They will keep you updated about processes as it happens. Also if you are not selected they will tell you then and there unlike other companies who will not inform if you selected or rejected., About your job Role   ,No Offer,Positive Experience,Average Interview,Amazon
,,No Offer,Neutral Experience,Difficult Interview,Amazon
," Self introduction, about the previous workexperience   ",Accepted Offer,Positive Experience,Easy Interview,Amazon
Short: 2 days of interview. Results came fast. The interviewer was very kind. The process was very clear from the very beginning. I got an email for every stage in the process., When you disagreed with your boss?   ,No Offer,Neutral Experience,Average Interview,Amazon
The interview went as usual in such a big company. The first interview was by phone with an HR responsible. The second one was by skype with an IT guy.,,No Offer,Negative Experience,,Amazon
"Transaction risk management service , Stage-1 Basic English Grammar, Stage 2 Versant English Test Pearson, Stage 3 HR Discussions. Stage 4 Background Check/Offer letter. After getting an offer letter the respective candidate will be trained on that particular role for few weeks , before working as TRMS associate.", All the questions should be answered without any hesitation of hiding something.   ,Declined Offer,Positive Experience,Average Interview,Amazon
"phone interview , and ask a lot of questions regard to project more than technical aspects as I imagined. last 50 minutes, all was done by phone. sometimes i cannot catch the question clearly.", how do you motivate your team?   ,No Offer,Neutral Experience,Average Interview,Amazon
," given a binary tree, return if it's a search tree   ",Accepted Offer,Positive Experience,Average Interview,Amazon
"It was easy, they will also ask mathematical questions easy to solve . Just that some questions will be really stupid to solve. HR round will be very nice and friendly"," Train speed, Blood relation types, ratio and proportions, profit and loss   ",Accepted Offer,Positive Experience,,Amazon
"introduce myself, future plan, how will you deal with relationship with you future colleagues, how about your technical ability, how will you do the job if you get it and so on", how much do you know about this job   ,No Offer,Negative Experience,Average Interview,Amazon
," The initial rounds were basically English speaking, listening and understanding. Nothing too difficult   ",No Offer,Positive Experience,Easy Interview,Amazon
Both the RUP and the Undergraduate Non-Tech jobs had two sections. The first section seemed to test the interviewee's prioritization of workload. It asked to rank the order in which you would do your job and the second section was more of a behavioral to see if you are a good fit for the company., Rank the order in which you would complete the task if you had limited time.   ,No Offer,Neutral Experience,Average Interview,Amazon
"The process was really quick. I got a phone call scheduling an interview 2 weeks after I submitted my resume. The interview was scheduled to the week after that, and I received results of the interview on the day I did the interview. Overall, it wasn't too formal, and the interviewers were super nice and welcoming. It was a good experience. I think it would be helpful to google some random interview questions and practice out loud beforehand. The interview was mostly in Korean, but some questions were in English.", Please introduce yourself   ,Accepted Offer,Positive Experience,Average Interview,Amazon
"I had a Phone screening with a very kind recruiter, usual questions about people management with specific examples and numbers. The recruiter was very transparent on the process and next steps, unfortunately the salary they are offering is a joke (34k)so I decided non to go forward.",,Declined Offer,Neutral Experience,Easy Interview,Amazon
"I applied through Linkedin, was contacted by a recruiter who got the position I was applying for wrong and wasn't responsive to my questions. Then I got handed over to another recruiter who again who got the position wrong. Anyway moving on to the interview. The interviewer was interesting as most of the areas I mentioned I don't know much about was all I was quizzed on. I mentioned I don't have experience in web application design/development to the recruiter who probably never bothered passing my feedback to the interviewer. Anyway, after trying to answer questions on a topic I had no clue about and wasting my time I started asking the interviewer questions. The interviewer told me how AWS needs headcount and i am another headcount. I had applied for what I thought I was a fairly senior role but I was disappointed to know that i was just a headcount.",,No Offer,Negative Experience,Average Interview,Amazon
I got failed in 1round only that is versent round and it was very difficult to hear in that microphone because of huge number of people came to interview, Versent round   ,No Offer,Positive Experience,Difficult Interview,Amazon
Screening call consisted in 40 min technical questions for a traineeship that is supposed to train you to the job.," A server keeps rebooting, how do you fix this problem?   ",No Offer,Negative Experience,Difficult Interview,Amazon
"Easy, recruiter, then hiring manager phone call and then in person. People were nice, takes a long time in between for booking interviews/questions etc. Downtown office is beautiful, but lacks structure for interviewing process.", how customer obsessed are you?   ,No Offer,Neutral Experience,Easy Interview,Amazon
"simple, brief, general personality questions. ask you about what you've listed on resume, how you operate within a team setting and what motivated you to apply for this position. ask you questions about how you've overcome challenges in the past and what steps you've taken to achieve so and how you apply that learning experience to your new tasks", Describe your leadership experiences   ,Accepted Offer,Positive Experience,,Amazon
applied for position through a reference. got a call for phone interview a few months later. prepared online via websites such as geeksforgeeks for a few weeks. technical phone interview was for about an hour. Informed about rejection through e-mail, Given a practical design problem; use appropriate DS and Algo to solve the same   ,No Offer,Neutral Experience,Average Interview,Amazon
"4 rounds of Face to Face interview, 3 were on the same day and the 4th round was on a later date if one clears the first 3 rounds. The 4th round was the final round.",,No Offer,Positive Experience,Average Interview,Amazon
, STAR based questions plus random one around where would you build a warehouse   ,No Offer,Negative Experience,Average Interview,Amazon
,,No Offer,Positive Experience,Average Interview,Amazon
"Online test, followed by a ""technical"" call which was mostly behavioural questions. Then I had an onsite interview where I met the rudest engineer ever, looking down on me as if he was Bezos. From the interviewers I met (around 6) plus the receptionists, they barely speak English. Even the recruiter who called me before the onsite to tell me what to expect on the day, she had the strongest Indian accent I've ever heard, couldn't understand a word. Don't expect any useful feedback from them either.", Was asked the same behavioural questions at every stage   ,No Offer,Negative Experience,Average Interview,Amazon
First step of the process was to take an online assessment test that lasted three to four hours. Coding and leadership skills were emphasized. Good experience overall and the fact that one can take the interview in the comfort of one's private space eliminates any jitters.," Coding questions, IQ test, behavioral questions   ",No Offer,Positive Experience,Difficult Interview,Amazon
"Applied online. Was selected to do phone interview with person from team (not HR). Ran smoothly. Was selected to return for all day interview (5 separate interviews back to back with a lunch break. Had pre-interview HR meeting to tell me what to expect. Within that meeting recruiter asked me my salary expectations/current salary; which I thought was unusual as their policy appears to say the opposite on their website (they don't use this in their offer process). I was told I was towards the top end of their range etc. but they would be competitive. Interview day was gruelling enough with a good many questions requiring the same answer. I felt I did well but fielding 60-70 questions I probably stumbled 2 or 3 times but was difficult because interviewer did not understand the business I was coming from. Turned out that really the role was a senior project manager at best and although I may have accepted it if offered it was beneath my competency level. One thing to note is that Amazon seem to have two main roles of Product Manager and Program Manager. Between these two roles Business Analysis, Project Management, Test Management are covered so if you are used to having resources supporting you as a Program Manager or a Senior Project Manager a Program Manager role in Amazon may not be for you. I think Amazon place over emphasis on the Leadership principles rather than trying to see if the person actually has done this job before and thus can add value to the company. They also have a weird policy that if you wish to go to the bathroom that you must be followed by your interviewer not into the bathroom but waiting outside. It is demeaning for employees to have to do that and that should be rethought. Finally I received a call from HR a couple of days later telling me I was unsuccessful. He gave me some brief feedback which did not rhyme true with how the interview went; reality is that I wasn't a good fit (too experienced and at the top of their range) but I understand that no company will provide candid feedback and thus give generic comments. In general I think far better to apply via agencies as you can waste a lot of time applying directly to companies as you have no insight into their process.",,No Offer,Neutral Experience,Difficult Interview,Amazon
"A recruiter reach me via Linkedin. First step codility test about half of code writing, half of is system management. After the test was passed, an interviewer delegated. But He postponed the interview 2 times, then another interviewer appointed. At the interview, he has just asked questions and taking notes. First 50 minutes of interview was technical questions, the other 10 minutes was 2 behavioral questions.",,No Offer,Positive Experience,Average Interview,Amazon
Took easily three months to complete from the first phone call till the offer. First telephone interview was technical follwed by second one with hiring manager which was more a behavioural and request to complete an technical assessment followed by invitation to their head quarters for a face to face with 5 amazon employees. This again was mix of technical ( white board sessions and and behaviour based interviews with prime focus on Leadership principles and ability to showcase the same from your past experiences., How do you explain what is cloud to a CEO of a company trying to-move to cloud in less than a minute ?   ,Accepted Offer,Positive Experience,Average Interview,Amazon
"The smoothest recruiting process I've seen. After applying directly with my CV I received a reply and invitation to a screening call within a week. I completed the phone call and I was invited to a panel interview within 2 days. The panel interview (attended in London, UK) consisted in 4x 45 minutes interviews with 4 different Talent Acquisition Managers. The process was super organised and interviewers were extremely competent and friendly. The whole panel interview process was around their 14 leadership principles, focusing on my ability to display past behaviour where I managed to act on those. I received an offer of employment within 5 days.", Think about a situation in which you had to convince a stakeholder or a peer about something.   ,Accepted Offer,Positive Experience,Difficult Interview,Amazon
,,No Offer,Negative Experience,Average Interview,Amazon
,,No Offer,Neutral Experience,Difficult Interview,Amazon
,,Accepted Offer,Positive Experience,Difficult Interview,Amazon
, What are your weaknesses and how are you overcoming them   ,Accepted Offer,Positive Experience,Difficult Interview,Amazon
I applied online and attended the process of interview where i got disqualified in hr round but the process is good in hiring no dircet interaction in 1st rounds after all screening process the hr round is also good., Nothing but written.test   ,No Offer,Neutral Experience,Difficult Interview,Amazon
, To attend the first round you should be very fluent in english   ,No Offer,Positive Experience,Average Interview,Amazon
, Tell me about yourself   ,No Offer,Negative Experience,Easy Interview,Amazon
, Just explain your experience with real life scenarios   ,No Offer,Negative Experience,Difficult Interview,Amazon
"Standard phone screen process. Call with recruiter to see if you meet the minimums, then a call from the hiring manager or equivalent a few days later. Flew down to in person interviews a few weeks later. Toured the operation (noted deficiencies that were asked about later). 4 person individual interviews. 1 Ops, 1 hiring manager, 1 equivalent EHS manager, 1 HR manager. Overall great experience, straightforward process."," All behavioral based questions. Tell me about a time. A lot to do with leadership, inspiration, conflict resolution, and the 14 principles.   ",Declined Offer,Positive Experience,Average Interview,Amazon
"I applied online, process took around three to four weeks. I had two phone screens followed by an onsite with five interviewers. I haven't received an answer in the five day interval as I was told in the interview. I followed back with the person who scheduled the onsite meeting and received a short answer that another recruiter will come back to me and let me know the outcome. That hasn't happened. Overall poor experience, seems like the LP they are searching in candidates are lacking in the recruitment process.", Examples that showcase Amazon's LP.   ,No Offer,Negative Experience,Average Interview,Amazon
"Applied online linked by Linked IN, was contacted by email and sent a calendar to fill in best times, confirmed within a week. The interview was a phone interview with a live coding exercise. The coding exercise wasn't complicated, but pointless when related to testing. Got a phone call saying I wasn't successful, they gave no feedback after an hour interview.",,No Offer,Negative Experience,Difficult Interview,Amazon
,,No Offer,Negative Experience,Average Interview,Amazon
"Straight forward, study the 12 leader principle and fake your answers to fit them. There are more questions on quizlet which you can google to find, most of the questions are used to see if you can fit the 12 leadership principles.",,No Offer,Positive Experience,Easy Interview,Amazon
,,Accepted Offer,Positive Experience,Average Interview,Amazon
,,No Offer,Positive Experience,Easy Interview,Amazon
"Had 2 phone interview and onsite interview, the process was a nightmare, took them 3 months (and multiple rounds of re-scheduling), recruiters not at all responsive. Then onsite was 5 interviews, they told me they'd answer in 5 days, 8 days and still no response, they don't even answer emails. No regards for the applicant at all"," Algorithms, distributed systems, operating system   ",No Offer,Negative Experience,Average Interview,Amazon
,,No Offer,Negative Experience,Average Interview,Amazon
,,No Offer,Positive Experience,Average Interview,Amazon
"The interview process was very good and there was no rush or either too much wait as well. Interviewers were helpful and friendly. First round comprised of 30 MCQs and 2 coding questions which were pretty easy if you have some sort of coding experience. After shortlisting, two round of one on one technical interviews were held and the level was between medium to hard. The general trend is like 2 questions in round 1 and two or three questions in round 2. All coding questions along with some basics of computer science.",,Accepted Offer,Positive Experience,Difficult Interview,Amazon
"Mostly fine, but the interviewer's attitude when I couldn't answer a memory based question was bad. I think I could've fit very well here but it didn't happen. I think they should review their interview process.", Median of two sorted arrays   ,No Offer,Neutral Experience,Difficult Interview,Amazon
, Outline specific example about very difficult problem you had with specific person and how did you manage it?   ,No Offer,Negative Experience,Average Interview,Amazon
"Interview rounds are depends on your job role. More than 3 rounds including technical, technical and leadership, Leadership quality, Telephonic round and In-Home interviews are there. Technical round is very qualitative. Must now basics of all the fields in which you are specialized."," Questions are based on your current job role, offered role and previous work experience with deep explanation.   ",Accepted Offer,Positive Experience,Average Interview,Amazon
"Applied online for Entry level position for Recent grad. Got Assessment test after applying was told to finish it in 2 days. Got email with saying the position is in hold. After 3 months got email from opsuniversity, which is amazon university operations hiring team. Was asked to fill in survey for my preference and preferred date for chime Interview. Prebrief. 15min. And 2 45min. Interview with employees who work at the same position. Waiting to get decision. First interview was not good as interviewer arrived almost 7min. Late I was watching my face on chime and was just gonna call HR. Got frustrated. The second Interview went good also area Manager explained everthing what I should expect if hired for this role.",,Declined Offer,Negative Experience,Easy Interview,Amazon
, Explain setting up a distribution centre.   ,Accepted Offer,Positive Experience,Average Interview,Amazon
, Tell me a situation in which you solved a problem (example)   ,Accepted Offer,Positive Experience,Average Interview,Amazon
,,No Offer,Neutral Experience,Difficult Interview,Amazon
"The process consists of online test, then 2 interviews. Online test was easy. Basic programming and C MCQs are there. Interviews ws totally on DS and Algo. They were totally looking for good programmer only.",,Accepted Offer,Positive Experience,Average Interview,Amazon
,,Accepted Offer,Positive Experience,Average Interview,Amazon
, Why do you want to work for Amazon   ,No Offer,Negative Experience,Average Interview,Amazon
"typical amazon interview process, 1 recruiter interview 2 phone screening, 1 loop, interview with 5 people, 3 are remote interview since hiring manager and team are in Seattle, 2 interviews are in Beijing office", tell me a time when you deep dive/deep analysis   ,Accepted Offer,Positive Experience,Difficult Interview,Amazon
"2 phone screens and 5 onsite rounds, each round was based on overall experience and leadership principles. scenario based questions with deep dive on each aspect. no technical inputs.", various leadership scenario based questions and use-cases   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
"I was approached initially by someone sitting in the USA Corporate Office, and after an initial interview, I received an email that the respective recruiter will call you for the telephonic interview, after the telephonic interview I received an email that in-person interview has been scheduled at one of their fulfilment centres. The interview process was cool, they introduced me to their staff and after they took me to the place where they interviewed me.", They asked me only two questions based on STAR concept. I shared with them my previous episodes.   ,No Offer,Positive Experience,Easy Interview,Amazon
"First of all, the HR in charge was completely unresponsive in scheduling the interview although i have passed the first screening. I have sent several emails to follow up but not hear back, until I cc her boss then i immediately hear back", Whats the sector focus area at your current job   ,No Offer,Negative Experience,Average Interview,Amazon
The Interview Process at amazon is more related to your knowledge. They only test your skills with a couple of questions which you would have to solve and give them an answer and they will decide if its applicable. They would like you to impliment the 14 principles that amazon follows, Solve a problem   ,No Offer,Neutral Experience,Average Interview,Amazon
, What is approach to new customers ?   ,No Offer,Negative Experience,Average Interview,Amazon
It took 2 months for the process. The interview was not properly organized. The 3 HR over there..they themselves don know how to conduct the interview😏 🤔🤔That day almost 900 candidates were present. Initially they called according to the nos suddenly they called a whole lot so it was not like first come first served . Finally by 7 PM I went for the first round. Cleared it then second round cleared and after a month they called for third round. I got rejected in third," Grammer test, analytical, audio test   ",No Offer,Negative Experience,,Amazon
It was a walkin. Online verbal test :30 minutes.. simple test. All about completing sentences and grammar checking. It was an easy test. Not much hard. Once you clear verbal then they will shortlist. Within a week you will get a call for written test followed by interview, They did not ask much   ,No Offer,Positive Experience,Average Interview,Amazon
,,No Offer,Negative Experience,Easy Interview,Amazon
, What was your best accomplished goal.   ,No Offer,Negative Experience,Difficult Interview,Amazon
"I had three phone interviews and then the “loop”, which was 5 back-to- back interviews onsite. I was first contacted at the end of September and was offered mid November, so quite a long process. Sometimes I would be left waiting for days to find out when the next interview would be scheduled, although they were great about making me aware they would be a next step.", Why Amazon? Tell me about a time you have to make a decision without your managers input. Tell me about a time you took and risk and it didn’t work out. Tell me about a time you had a conflict with your manager or a peer. Tell me about a time you changed a process that wasn’t working.   ,Accepted Offer,Positive Experience,Difficult Interview,Amazon
,,Accepted Offer,Positive Experience,Average Interview,Amazon
"First, there will be an aptitude exam, upon shortlist, they'll get a call for an interview. The interview was of two rounds. First was a psychometric type test, qualifying which would lead you to a technical and hr interview round.", Kept on persistently asking about the risks and the deadlines I had in my project.   ,No Offer,Positive Experience,Difficult Interview,Amazon
"The interviewer explained the job description and what Amazon is doing Prague. Then they asked for my background and experience. It was not too difficult, just casual conversation.", All the questions were based on Amazon's leadership principles   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
,,Accepted Offer,Positive Experience,Average Interview,Amazon
I applied to this internship through website and the recruiter emailed/called me. We coordinated the interview schedule and there was a face to face interview with the field manager. The interview question made me feel like they don't want to hire the best ones but who fits their taste. It was frustrating., What do you want to get from this internship?   ,No Offer,Neutral Experience,Difficult Interview,Amazon
The interview questions were focussed on written coding practices from topic such as linked list and string patterns. The interviewer was really calm and helpful and they will try to help you out to get comfortable with them., How are you going to implement this technology to your project?   ,Declined Offer,Positive Experience,Average Interview,Amazon
,,Accepted Offer,Positive Experience,Average Interview,Amazon
"Questions were asked from OS, CN, troubleshooting of network etc(in-depth concepts). Also a few programming questions were asked to some candidates.These 2 rounds and the managerial round were more of elimination rounds.",,No Offer,Negative Experience,Average Interview,Amazon
"The process took 2 weeks.I was interviewed at Amazon Chennai.It was an easy interview and the interviewer was too friendly.It had 4 rounds.1st round is basic english.2 nd round is reasoning ability.3 rd round includes e-mail writing,etc,.4th round is HR interview."," Tell me something about your mini project.What was the last movie you saw.Tell me something about the movie etc,...   ",No Offer,Positive Experience,Easy Interview,Amazon
"The process started with an online application to check I qualified for the scheme. Then I had to complete an online assessment with STJ questions etc. After completing that stage I was invited to a video interview. The final stage was an assessment centre comprised of an individual task, a group task and two interviews.", Tell us about a time you had to make a decision when faced with multiple choices?   ,No Offer,Positive Experience,Difficult Interview,Amazon
"One week after I have applied for the position, I got a phone call out of the blue from HR . He referred to my previously rejected application (because of visa requirements) dated half a year back. He was surprisingly unfamiliar with my CV (anything after the top paragraph) suggesting that I don't have front-end qualifications for the role, but suggested considering the role requiring no front-end responsibilities. Through the call he apparently started reading through my CV and (what a surprise!) discovered my extensive front-end experience. He suggested revising my application and calling me back. When I got the call later that day and it was uncomfortable for me to talk, I asked for a call back in half an hour. And never heard from them again. Surprisingly, my application was rejected on the jobs page literally the next day I applied, but they have reached out to me (for whatever reason) a week later.", Do you have experience with front-end?   ,No Offer,Negative Experience,Easy Interview,Amazon
,,Accepted Offer,Positive Experience,Easy Interview,Amazon
I was in last year of my Graduation I went for Campus and there it was 4 round process firstly GD takes place and then three rounds of online exam., They asked general questions.   ,No Offer,Positive Experience,Easy Interview,Amazon
, Usual Amazon stuff   ,No Offer,Negative Experience,Easy Interview,Amazon
I completed two phone interviews over the course of two weeks. They had no idea what they were hiring for. The background was noisy and had a hard time even hearing the interviewer., Why do you want to work for Amazon.   ,No Offer,Neutral Experience,Easy Interview,Amazon
"it was an ok experience. I recommend practising on Leetcode. Interview took at leasrt three to four weeks. Look at leadership principles pretty closely too, and think about how you exemplified these in your work in the past", Why Amazon?   ,Accepted Offer,Positive Experience,Difficult Interview,Amazon
"Post CV review, there was one phone interview, then on the interview day there were 5 back to back interviews all focused on Amazon's leadership principles. One round also focused on system design and had a problem to solve.",,No Offer,Positive Experience,Difficult Interview,Amazon
There's a brief discussion with the recruiter followed by an essay answer one of two questions. Then there was a technical interview with a Principal Engineer followed by an onsite interview with 5 people - usually your potential boss and other peers.," The questions are almost entirely based around the Amazon leadership principles. Make sure you provide clear, detailed and complete answers. Do your background work as they won't explore your skills or capability in too much detail.   ",No Offer,Negative Experience,Average Interview,Amazon
"Fairly straightforward process, recruiter reached out asking if I was interested in an SDE role at amazon. After this recruiter sent a link to an Online assessment. Shortly after online assessment recruiter reached out again saying that I will move to the next stage which was 4 onsite virtual interviews.", Behavioural questions based on leadership principles and standard data structures and algorithms questions.   ,Accepted Offer,Positive Experience,Average Interview,Amazon
