question,offer,interview,experience,difficulty,source
 I only got one technical question   ,No Offer,I got contacted by a recruiter after submitting my resume. Then he scheduled me for a phone interview.,Negative Experience,Average Interview,Facebook
" several of my interviews were conversational. in that context it's very difficult to guess if you are giving the expected answer or not, that is, if you are going to fit in the culture. Facebook culture which celebrates hackers - unconventional, resourceful and self-sufficient makers, is difficult to guess from the outside but extremely present as soon as you set your foot on campus.   ",Accepted Offer,,Positive Experience,Difficult Interview,Facebook
 What would you do to improve the FB Login product (Platform side)?   ,No Offer,,Positive Experience,Difficult Interview,Facebook
" Given an array of distinct integers, and a target integer t, compute all of the subsets of the array that sum to t, where order matters. (I was given ~20 minutes to solve this)   ",No Offer,"I went to my college's career fair and dropped off my resume with Facebook, we had a nice chat. Next week, they sent me an e-mail asking me to come in for a first-round interview on campus. The day before the interview, we had a nice meet and greet in the computer science tea room. They were very friendly, and we got to know each other better. The next day, I had my first interview. It comprised of a few technical questions, and runtime analysis which I think I answered correctly. In the evening, they e-mailed me telling me I've made it to the second (final) round. However, I did not manage to complete the second round challenge within the time limit, and I was not given an offer.",Difficult Interview,,Facebook
 None of the questions I encountered were particularly difficult. I suppose the question about ways to see if someone is defrauding a contest built off of Facebook's API was a head scratcher of a problem.   ,No Offer,,Positive Experience,Average Interview,Facebook
,Accepted Offer,,Positive Experience,Average Interview,Facebook
 Got asked a statistics independent/dependent question.   ,No Offer,,Positive Experience,Difficult Interview,Facebook
 Check if two strings are Palindrome   ,No Offer,"interview at Harvard, 45mins, 3 not difficult questions.",,,Facebook
" My interview with a manager, he asked me a real internal problem they have and asked me to propose a solution. The question is really interesting, but I feel it's a bit hard for an outsider to give an answer that's effective and not overly complicated   ",No Offer,,Positive Experience,,Facebook
 How do you build FB Check Ins service   ,No Offer,I was contacted by linkedin and thought it was a joke. I reply the message and started the process very fast and kindly. Every recruiter and interviewer was very kind and treat me with respect. I live in Argentina and made one online interview. After it the send me a ticket to Menlo Park and there i had another 4 interviews.,Positive Experience,Easy Interview,Facebook
 print a tree level by level   ,No Offer,"Career fair, 30 min interview a week after.",Positive Experience,Difficult Interview,Facebook
 the design questions are hard.   ,No Offer,"I applied online via their online challenge website. After a few days, I received email from Facebook asked if I'd like to have phone interviews. I got two phone interviews, both of which are focused on algorithms / data structures. Then after a few days, I got the chance to do an onsite interview. On that day, I met with four people, one was focused on culture fit, two were focused on coding, and the last one is testing my design skills.",Positive Experience,Average Interview,Facebook
 Except of technical-related questions you can expect such ones like - how do you use Facebook app and what are the problems with it? How would you fix it?   ,Accepted Offer,,Positive Experience,Average Interview,Facebook
,No Offer,,Positive Experience,Average Interview,Facebook
 Regular expression without grouping   ,Accepted Offer,"I got the interview through on-campus recruiting at my university. I had two on campus interviews with software engineers. I received an offer within 3 days of the second interview. I was also flown out for University Day, however I did not have to participate in any interviews at that point.",Positive Experience,Average Interview,Facebook
" Some string manipulation in Java. You have to know how to use StringBuffer's fairly well. Also, asked a lot of tree/graph related questions   ",Accepted Offer,"Pretty quick. I went through 2 on campus interviews. The interviewers were friendly, and did not try to intimidate you. I did not think I did very well, but I still received an offer by the end of the week. From what I got from it, they do not have a very high standard for highering interns, but when it comes to extending an offer at the end of the internship, they prune aggressively.",Positive Experience,Average Interview,Facebook
 If you have 100 credit card numbers (and all info) how would you make as much $ possible in 24 hours using only online transactions? (Many follow up questions of how to get around certain fraud deterrents.)   ,No Offer,,Negative Experience,Difficult Interview,Facebook
,No Offer,,Positive Experience,Average Interview,Facebook
" Let's say you wanted to build the world's most popular mobile messaging product, and you needed to estimate how much network bandwidth would be used in a year. How would you go about doing this?   ",Accepted Offer,,Positive Experience,Difficult Interview,Facebook
,Declined Offer,"1 phone round interview and 1 onsite interview. Onsite had 2 coding round interview, 1 manager interview and 1 design interview.",Easy Interview,,Facebook
" I don't recall, was a while ago.   ",No Offer,Quick hiring process - first interview is all technical. It will be all on algorithms and memory complexity.,Positive Experience,Difficult Interview,Facebook
" Had a question about team dynamics at one of my previous jobs. Having only worked part time restaurant jobs through college, this was unexpected.   ",Accepted Offer,,,,Facebook
,No Offer,,,,Facebook
 Team work and collaboration.   ,Accepted Offer,"Multiple rounds of 1:1, then a group presentation. Then an additional series of 1:1 interviews where they are seeking different ways to get at the core of what motivates you and drives you.",Positive Experience,,Facebook
" It focused on a specific testing case so I do not feel comfortable sharing but it focused on the trade-offs in cannibalizing by showing ""people you may know"" versus an ad. Make sure to think about those corner cases like when you are in a test cells and your friend is not and what experience to show to each user.   ",Accepted Offer,,Positive Experience,Difficult Interview,Facebook
,Accepted Offer,,Positive Experience,Difficult Interview,Facebook
" Write C++ code to copy a graph, once done whats the algorithmical complexity of this   ",No Offer,"Initial screening, almost as a pre interview. It was 45 minutes onsite. Everybody is friendly. The work area is an open evironment. There is no cubicles and offices are there for meetings or interviews, I guess. Since it was a pre screening I only had one technical interviewer who asked a somewhat complex question, try not to get nervous. They say they discard candidates based on their character, so be friendly.",Neutral Experience,Average Interview,Facebook
,Accepted Offer,,Positive Experience,Difficult Interview,Facebook
" Nothing difficult or unexpected. Mainly questions around my resume and my experience. As this is a finance position, I was asked about how I think about Facebook financial performance by the hiring manager. I've read Facebook's 10-Qs and prospectus so I am well prepared for this question.   ",No Offer,"I interviewed with Facebook back in July, 2012 but didn't pass the initial phone interview because my background wasn't an exact fit for the position that I applied. I guess they retained my resume in their database. When this position opened, a recruiter contacted me via email, asking me if I was interested in this position. Of course I am because it's Facebook. So we quickly set up a phone interview. One day after our initial phone interview, the recruiter contacted me and wanted to set up another phone interview for me with the hiring manager. I talked with the hiring manager for about 25 mins over the phone. It only took me about one week from the initial email from recruiter to the phone interview with hiring manager. But now it has been 2 weeks since I talked with the hiring manager, and I haven't heard anything from Facebook again. No rejection, no emails about next step. I emailed the recruiter twice to follow up but never get any response. But luckily I currently have a job and I am also interviewing with other companies. If I hear back from Facebook, it'll be a pleasant surprise. But I have decided to move on.",Neutral Experience,Average Interview,Facebook
 Why Facebook?   ,No Offer,"Initial HR Screening interview with behavioral questions. Was then told I made it to the next round for a phone interview. Same easy behavioral questions (why FB, why risk, etc.). After that, I was told I would have another phone interview (very similar questions). Finally, I was flown for four different interviews at their headquarters. These questions were more analytical, which was a bit of a surprise.",Positive Experience,Average Interview,Facebook
 what would you do if a partner doesnt agree to the way you work   ,No Offer,2 phone screens followed by onsite,Positive Experience,Average Interview,Facebook
 How would you most efficiently store large images in the database?   ,No Offer,Honestly I found the people I interviewed with rude and arrogant. I clearly was not a match for what they were looking for which was someone extremely technical. They did not seem to care about business experience.,Negative Experience,Difficult Interview,Facebook
,Accepted Offer,One phone call and a 5 hour onsite,Positive Experience,Easy Interview,Facebook
" I was applying for backend service engineer, but got a client side design question during interview.   ",Accepted Offer,,Positive Experience,Difficult Interview,Facebook
" While I can't go into specifics due to Facebook's NDA interview policy, I will say that very practical experience will help you in navigating these interviews. Answering in general will only lead to more specific questions.   ",No Offer,,Average Interview,,Facebook
 What is your familiarity with Facebook pages and different types of ads that can be used for promoting a page?   ,No Offer,"I applied through Facebook. Sent resume and was contacted by recruiter in Menlo park. It was a general behavioral interview with specific questions about small business experience. Recruiter seemed to respond positively and set up phone call with hiring manager. Phone call never happened, no follow up. I felt that recruiter was difficult to follow up with but it is understandable considering this position would have lots of applicants. I felt that not being called at scheduled interview with hiring manager was a negative part of the process.",Neutral Experience,Difficult Interview,Facebook
 How would you query for all the Places near a given coordinate? The focus is on how to scale this to a large number of places while keeping response time to within acceptable user expectacions.   ,No Offer,"After being contacted by the recruiter, I had a technical phone interview, and was then flown on-site for a detailed interview. The overall experience was excellent, with enthusiastic, encouraging people. All accommodation and transportation costs were covered. The interviews were of one of the following types: coding, cultural fit or architectural design.",Positive Experience,Difficult Interview,Facebook
 Design a Facebook travel app.   ,Declined Offer,,Positive Experience,Difficult Interview,Facebook
" The design interview process was a little difficult. I kept saying my thoughts. However, the interviewer was silent most of the time. I didn't get much hint on which directions to go.   ",No Offer,"The interview process was pleasant. I had four interviews, 1 half coding and half cultural fit, one design, two coding interviews. None of the coding questions was difficult. The recruiter sent you links for coding preparations. If you did you homework, then you would have seen the questions there. I had the feeling that they wanted you to code fast, neat and bug free.",Positive Experience,Average Interview,Facebook
 Mostly the team wanted me to explain my expertise in each broad area where they believed they would need assistance in the upcoming project.   ,Accepted Offer,,Positive Experience,Easy Interview,Facebook
 How would you collect data on an advertisement   ,No Offer,Was referred by a friend and spoke to the recruiter about the position. Had a phone interview with a team member which went well and then in-person interviews on campus. Overall great experience but they were looking for someone with more knowledge on Facebook Ads.,Positive Experience,Average Interview,Facebook
" Hiring manager asking for a solution specific to the team, likely just a way of better understanding the candidate's thought process and problem solving skills.   ",No Offer,,Neutral Experience,Average Interview,Facebook
"I was asked to explain how I would measure the success of a project in a quantifying manner and that was something I didn't expect and couldn't answer successfully. They are big on running ROIs for projects and proving, with numbers, how much a system implementation has improved the efficiency of the business process. Since I have never done anything like this before, it was difficult for me to propose",No Offer,,Positive Experience,Difficult Interview,Facebook
 General algorithm questions on the more difficult side.   ,No Offer,2 phone questions,Positive Experience,Difficult Interview,Facebook
 NDA   ,Accepted Offer,"Have three rounds of interviews, one on campus, one phone and one onsite. Questions are those you would normally expect",Average Interview,,Facebook
,No Offer,,Positive Experience,Difficult Interview,Facebook
 Calculate the square root.   ,No Offer,Similar to any other review on this site.,Easy Interview,,Facebook
 The interview questions are related data structures and algorithms.   ,No Offer,"Had a short phone talk with the recruiter, then he arranged an on-site interview. It had two rounds and each round has a main interviewer and a shadow. But it seemed that they don't coordinate well... the first interviewer thought I am seeking a full-time position and the second interviewer almost forgot the interview.",Difficult Interview,,Facebook
,No Offer,"I had a very bad interview experience with Facebook Seattle recently. Two days after the interview, they called me and asked for references and told me they would provide the feedback in the next day. Not happening but after 5 days, they told me I did not have an offer but I can apply again in 3 months because there are some bugs in my codes and also in the design question interview, although I answered all the questions right but I did not push through it.",Negative Experience,Average Interview,Facebook
,No Offer,,Positive Experience,Difficult Interview,Facebook
" Compute square root of a integer, without using the built-in sqrt method.   ",No Offer,"Submitted resume in Campus Recruiting. Got an phone interview and an online test. In the phone interview, the interviewer asked questions on my resume, and some projects I did. Then he asked a programming problem. Then the HR invited me to a online test. The online test is on interviewstreet.com. The problem is not very easy.",Average Interview,,Facebook
" The most difficult question was the 8-hour test, which involved deriving a novel and fairly-involved algorithm, significant CSS/HTML/JS coding, and plenty of opportunities to get something subtly wrong.   ",Accepted Offer,,Positive Experience,Difficult Interview,Facebook
" ""Reverse"" of the problem if finding k-th smallest element in a tree: I had to find k-th largest.   ",No Offer,"I was participating in Facebook Midwest Regional Hackathon, and got contacted by the recruiter shortly thereafter at my university. We scheduled the first phone interview, which was a technical interview. The questions included printing binary search tree in reverse, finding k-th largest element in O(N) without modifying the node, and then same k-th largest element in log(N) time keeping the size of the subtree in each node.",Positive Experience,Easy Interview,Facebook
 group anagrams   ,No Offer,"Employee referral, 2 weeks later a email from the recruiter. Schedule a phone interview for 1 week from recruiter contact. Software engineer contacted me and told me about what he did and asked me what I like to do and then onto the coding problem. Everyone was very friendly",Positive Experience,Difficult Interview,Facebook
" Providing an algorithm for combinations(n, k), not because of it's complexity, just because it took my the majority of the interview to understand that this was the problem I was solving - it was not made very clear at all.   ",No Offer,,Negative Experience,Difficult Interview,Facebook
" I got some fairly detailed questioning on my research, which was something I didn't really expect for a technical interview.   ",Declined Offer,"Facebook recruiters approached me at a conference. Interview followed shortly thereafter; all interviewers had looked at my resume and were ready to ask me questions about my grad work, something that I didn't see in a lot of places. They even put me on the phone with their VP of data infrastructure, which was something that I wouldn't really expect from a company their size. Overall, a great process.",Positive Experience,Average Interview,Facebook
 Hardware design practical test question that is irrelevant to the job description.   ,No Offer,,Negative Experience,Average Interview,Facebook
 There was not any surprise or difficult question. But the vision interviewer asked to detail out steps to achieve the desired vision.   ,No Offer,,Positive Experience,Average Interview,Facebook
 What is your greatest weakness?   ,No Offer,,Neutral Experience,Average Interview,Facebook
" How are you able to focus in a noisy, busy environment?   ",No Offer,"I applied online directly to Facebook's website and was contacted within a few days by a recruiter. I did an initial phone interview and then I was set up for a face-to0face interview. My interview consisted of 3 back to back meetings with others that work on the team that I would be joining. I was contacted to come back for a second interview whic consisted of meeting with 5 others in back to back meetings. The reasoning behind so many interviews is that feedback from the interviewers is sent back to headquarters and based on the feedback, the hiring decision is made solely by HR. I enjoyed this type of hiring process because it prevents favoritism. And because everyone works so closely together (no cubicles or offices, everyone works at conference tables equipped with laptops), you really have to have a personlity that meshes well with the group.",Positive Experience,Average Interview,Facebook
" Add two binary numbers represents in strings, those could be large values.   ",No Offer,Submit the CV online and they contacted me after couple of days and set up an interview.,Positive Experience,Average Interview,Facebook
 Background based. Platform based. A few critical thinking questions   ,Accepted Offer,Pretty straight forward. A lead phone interview which was pretty basic. Asked about my background and why i was interested in the role. Then 4-5 in person interviews each lasting 30 mins. Each interviewer had their own angle or agenda. One of the interviewers was the hiring manager. On site at Facebook. Recruiter set up everything. Overall pretty smooth and no trick questions or scare tactics.,Positive Experience,Average Interview,Facebook
"Write a function in language of your choice that takes in two strings, and returns true if they match. Constraints are as follows: String 1, the text to match to, will be alphabets and digits. String 2, the pattern, will be alphabets, digits, '.' and '*'. '.' means either alphabet or digit will be considered as a ""match"". ""*"" means the previous character is repeat 0 or more # of",No Offer,They came down to our campus to hold 2 rounds of interviews.,Positive Experience,Average Interview,Facebook
 I'm not allowed to reveal question due to an NDA.   ,Accepted Offer,,Positive Experience,Easy Interview,Facebook
 I cannot disclose it due to the confidential policy.   ,Accepted Offer,,Positive Experience,Average Interview,Facebook
 Isomorphic trees   ,No Offer,,Difficult Interview,,Facebook
 How would you come to an agreement if you and another senior level engineer couldn't agree on a technical design?   ,No Offer,,Positive Experience,Difficult Interview,Facebook
" I don't believe I can disclose this due to NDA. I would recommend prepping examples for the types of interactions the role would encounter, basic examples of workplace situations, etc.   ",Accepted Offer,,Positive Experience,Average Interview,Facebook
" I was asked to mathematically prove the big-O bounds of an algorithm. I was a little rusty with my math, but my interviewer helped me and I got it.   ",Accepted Offer,,Positive Experience,Difficult Interview,Facebook
" Given an unsorted array, extract the max and min value using the least number of comparison.   ",No Offer,I was invited to a on campus interview with a Facebook representative. It was a 45 mins interview with one technical question.,Neutral Experience,Average Interview,Facebook
" Typical and easy STP, OSPF areas, BGP best path, ipsec, very easy troubleshooting, tcpdump, etc.   ",No Offer,"Made my way to Facebook HQ for the grueling 5+ hour interview process. Met head recruiter, and introduced me to the first interviewer, who was from a different part of the organization, they said they wanted to get a perspective of me from someone on the ""outside"" What? Next person was the toughest. Instead of interviewing me, he basically wanted to show me exactly how much ""he"" knew about each topic. We spent more time going over what he knew, rather than how much I knew! Next couple of interviewers were very nice and asked ""reasonable"" questions, which I answered correctly. There were only a few that I said I would have to come back to, which I did and again I answered them correctly! I then met with the group manager, who was very nice, not technical at all, but asked me situation type questions about conflict management. You know the questions about how you handle tough people who think their ideas are the ""only"" good ideas, and other similar questions. So, overall I know for a fact the first interviewer had his mind made up even before we started the interview; arms crossed, stern look, higher-than-thou attitude. I didn't get the job, even though everyone else wanted to hire me, the first interviewer had it in for me for sure. The manager even asked me if I need to give the standard two week notice and basically asked when I could start. So I was shocked when i got the ""we have no position to offer you at this time"" email.",Negative Experience,Difficult Interview,Facebook
" How do you account for disk failures in ensuring you lose no data from the hadoop cluster. Asked to come up with a hypothetical configuration (2 racks, n number of disks, 1 copy of data on each rack).   ",No Offer,"Recruiter contacted me via LinkedIn. He was super nice when we spoke on the phone during initial technical screening. The questions ranged from MySQL, Hadoop, Operating Systems and networking. After that, he set a coding interview with someone from the team. I was asked to solve a program via scripting. With little struggle (I haven't been a hardcore programmer), I was able to get it done. Next came, a talk with hiring manager. This was another round of hardcore technical screening. We spoke a lot about MySQL and Hadoop infrastructure. I did alright in that, so I was asked for an onsite interview for 4 hours. I met with Director level employee, hiring manager, folks reporting into this position as well as a peer. The questions were related to their operational problems and best way of doing things at facebook scale. Since I have not operated at facebook scale, I just put forward solutions from my viewpoint. That was not good enough for them, so they decided to pass me. Recruiter called me couple of days later with specific feedback which I think is pretty cool. I didn't expect the recruiter to be so thorough in the feedback. In addition, recruiter helped me in every step of the way, so kudos to him. On the other hand, I felt hiring manager didn't know how to interview (he hardly looked at me in 45 minutes I was with him and he apologized for that during the meeting itself).",Positive Experience,Difficult Interview,Facebook
" Algorithmic puzzles, dynamic programming   ",No Offer,,Positive Experience,Average Interview,Facebook
 Smallest missing natural number in a linked list in linear time without a hash table.   ,Declined Offer,"No phone screen. One on-site in NY, one in CA. Both about 5 hours. Very pleasant experience. People were friendly and engaging.",Positive Experience,Difficult Interview,Facebook
 No unexpected questions.   ,No Offer,"After a phone interview from the recruiter, I had a rather easy Skype technical interview (3 algorithmic questions, answered all of them correctly). Within 2 weeks I was informed that I was approved for an onsite interview in Palo Alto HQ. There I had 4 consecutive interviews (Ninja, Pirate, Jedi, Ninja). Ninja interviews require coding in board practice - quite difficult since if you answer correctly in one of them they ask something else. Jedi was related to my PhD. Pirate was the most difficult one as there were no right/wrong answer and questions were related to database design and overall Facebook feature design. The interviewers were very friendly and helpful. In overall, a great experience!",Positive Experience,Difficult Interview,Facebook
 I am not allowed to share questions here (signed NDA)   ,No Offer,,Positive Experience,Difficult Interview,Facebook
" None of the questions were difficult, or unexpected. Most of them appear on this site.   ",No Offer,,Positive Experience,Average Interview,Facebook
" Nothing too difficult, everything you could possibly think of was asked.   ",Accepted Offer,"Submitted my resume, and got a response within a week! The recruiter was very nice and very interested in what I had to say. You can pretty much find the exact questions they asked here or if you google it up. Then we scheduled for an in person interview. The first person explained the position to me, and asked if I had questions. Second person went through my resume and asked me behavior question. Third person was a combination of the previous two people. The in-person interview was pretty intense, in the sense that there was a lot of information given to me. They were all really friendly and cool people. Overall, it was a quick process and nothing was particularly difficult. Just prepare examples, have stories to tell, and ask lots of questions, and you should be fine!",Positive Experience,Easy Interview,Facebook
,No Offer,,Negative Experience,Average Interview,Facebook
 Nothing really difficult or out of the ordinary.   ,No Offer,"Contacted by Recruiter. Informal phone interview. Interview at office with four members of the Media Solutions Team, held consecutively ranging approximately 30 minutes. Each interviewer represented different facets of interests and skills sets. Interview one seemed to gauge client management/sales ability. The second was to deduce if I was a team player. The third individual asked the technical skill set questions. The final interviewer was the traditional top manager interview.",Positive Experience,Easy Interview,Facebook
 The question was a bit complex and requires to apply more than two data structures at the same time.   ,No Offer,"I contacted by a recruiter at a career fair. Then, I had an e-mail asking my available time. I was a bit busy those days, the interview was scheduled almost two weeks later from that time. I should say I do not have any experience related to interviewing for an intern position, I never know what I will be asked. During the interview, I had explained what I did up to now, I was expecting to have questions about my study, but interviewer does not express any interest to my study.",Difficult Interview,,Facebook
 Tell me an area you feel you're an expert in or have a lot of experience in that has a people interaction component. Map out (using a whiteboard) and discuss the relationships and flow of interaction between people in that area.   ,No Offer,,Positive Experience,Difficult Interview,Facebook
,Accepted Offer,I met them at a career fair at my school and handed them my resume. A couple weeks later they emailed me and asked if I could interview on my campus. 45 minute interview. A few days later they asked if I wanted to come to Menlo Park for a final round interview. In Menlo I had a 45 minute interview followed by a long tour of the Menlo Park campus. It was a really fun time.,Positive Experience,Average Interview,Facebook
 I would not give the actual questions given the NDA I signed.   ,No Offer,,Positive Experience,Easy Interview,Facebook
" Not that it was an unexpected question, I was asked why I wanted to work at Facebook and why I applied for the Analyst position. Fairly straightforward. These are questions you should have prepared for in the first place.   ",No Offer,"Was contacted by Facebook HR via email after applying for Analyst position online. The HR representative was friendly and we set up a phone interview. The interview was pretty relaxed and straightforward. I was asked to explain a little bit about my background and some work I had done listed on my resume. The HR rep also explained a little bit more about the position description, duties and the team I might be working with. The interview ended after about 25 mins with the HR rep asking if I had any additional questions. I haven't heard back about the position since the initial phone interview, so I assume I did not get the position.",Positive Experience,Easy Interview,Facebook
 Implement a LRU cache in C++.   ,Accepted Offer,,Positive Experience,Average Interview,Facebook
 what is a stack? a queue?   ,No Offer,"I talked to a recruiter at school career fair. Got a 15-minute phone screening after 1 week, during which she asked me some background questions related to my resume, and told me a little about the position and the interview process followed by a few technical questions. The questions are pretty basic and easy. Then she scheduled an on campus interview for the week after. It was a 1-1 pure technical interview which lasted 30 min. I was asked a coding question which involved sorting and data structure. Nothing unexpected.",Positive Experience,Average Interview,Facebook
 Design a photo sharing app   ,Accepted Offer,"Very thorough. Covers technical, personality, etc. There were four interviewers, broken into two coding questions, one architecture question, and one person who covered fit and personality. The interviewers were all very professional, and the recruiter was a pleasure to interface with.",Positive Experience,Difficult Interview,Facebook
 How do you explain a concept like regression analysis to someone who doesn't know the statistics behind it?   ,No Offer,"I had an amazing experience working with my recruiter. She was really on top of what the position was and what it meant and clearly communicated a lot of what Facebook stood for. She was quick to set up follow-ups and interviews, and was on top of making sure everything was set up correctly. I didn't get the job, but overall I didn't experience any negative things that other reviewers have.",Positive Experience,Average Interview,Facebook
,No Offer,"The process was fast and challenging. Phone interview, then remote technical interview with live coding through a web code share site. After passing those rounds I was invited to onsite interview in Menlo Park. The onsite interview involved 4 different people, with a lunch break. I am in my mid 30's in age, and I must say I felt like the old guy at the club. My interviewers were all younger than me, and had a palpable air of superiority. I felt like I nailed each of the interviews, but was not extended an offer with ""You struggled on one of the interviews"" as the only explanation. Its hard for me shake the thought that it was more work culture than work skill that prevented me from receiving an offer. All in all, no complaints. It was a fun and challenging experience and I ended up with a better job in the long run.",Positive Experience,Difficult Interview,Facebook
" Signed NDA so can't disclose. But, the questions were high level and scattered. There wasn't a clear theme on the loop - it was as if everyone scrambled to put some questions down 10 minutes before the interview.   ",Declined Offer,,Negative Experience,Average Interview,Facebook
" I had 4 consecutive interviews: first one was a general talk about my experience, second was to write a json beautifer, third was to design their newsfeed, and last was to write a program that prints all subsets of size k of a given set with n integers.   ",No Offer,,Positive Experience,Difficult Interview,Facebook
" Write a function that takes 2 arguments: a binary tree and an integer n, it should return the n-th element in the inorder traversal of the binary tree.   ",No Offer,,Neutral Experience,Difficult Interview,Facebook
" String manipulation, Trees, Lists, sort, basic linear algebra...   ",Accepted Offer,,Positive Experience,Difficult Interview,Facebook
,Accepted Offer,,Positive Experience,Average Interview,Facebook
 Write a function that finds the square root of a decimal number.   ,No Offer,,Positive Experience,Easy Interview,Facebook
 None of the Qs were unexpected.   ,No Offer,"Applied their careers page, got a response within 3 days. I was asked some Qs about my education and work-ex, then was asked to fill up a questionnaire,was given a choice of Phone interview or on campus, I scheduled on campus, cleared that than had a full day, interview.",Positive Experience,Average Interview,Facebook
,Accepted Offer,,Positive Experience,Average Interview,Facebook
 What are you least proud of on your resume?   ,No Offer,,Neutral Experience,Average Interview,Facebook
" Not that difficult but was asked to compute the number of ways to make change for 100 dollars when an arbitrary coin from the set (5c, 10c, 25c) has to be the smallest amount of change given.   ",Declined Offer,I was referred by a friend. Got a phone call within 2 days from a recruiter. An interview was set up with the hiring manager of the team I interviewed for. Standard data structures and algorithms screen. Passed that pretty easily. I had 2 more phone calls and one onsite. Overall pretty pleasant experience.,Positive Experience,Average Interview,Facebook
 What is your process for sourcing?   ,Accepted Offer,"Lunch with Recruiting Manager, interviewed with 2 recruiters and 2 sourcers. Received offer from recruiting manager. Interviewers did not seem prepared. The questions they asked weren't very challenging or deep. They also didn't seem excited about working there.",Negative Experience,Average Interview,Facebook
 The systems interview was more open ended than I expected   ,No Offer,"I was contacted by a recruiter over linkedin. After doing a technical screen with the recruiter, there were two phone interviews with engineers. The first was a fairly simple programming test, and later a more in depth systems test.",Negative Experience,Difficult Interview,Facebook
 Write a palindrome-checking function   ,Accepted Offer,"I sent an application in for a position as a new grad, and the person who received my resume forwarded me to university recruiting. From there I had one phone-screen with HR, three technical interviews over the phone, and then they flew me out to Menlo Park for in-person interviews. There were four interviews during the day, each one was part technical interview, part general-fit questions, and at each one I got a chance to ask the person interviewing questions about the company. A few weeks after the interview they asked for references to contact, and a few days after that I received an offer.",Positive Experience,Difficult Interview,Facebook
" Coding tests were the hardest part for me since I have been out of school for a long time now :) Prepare for questions related to trees, graphs, strings, dynamic programming and practice writing code on paper.   ",Accepted Offer,"I was contacted by recruiter via employee referral. Chose to go on site for initial interview. This was followed by onsite day of interviews a few weeks afterwards (I asked for some time to prepare for coding tests). The second set of interviews comprised of 2 coding tests, one design, one behavioral, lunch with hiring manager and one interview related to my technical specialization. Received offer within a week of final set of interviews.",Positive Experience,Difficult Interview,Facebook
"The initial question (writing a function to calculate a square root) ended up being the most difficult because it threw me off. I knew there was a good iterative method for doing so, but could not recall Newton's method in the moment, and I sadly let this nagging thought get in the way of my ability to work through the problem. My failure to perform well on that question set",No Offer,"Initial communication was through a recruiter, who reached out unprompted via LinkedIn. After chatting with the recruiter briefly over the phone, she quickly set me up for a phone interview, which was not that difficult/unexpected. This was followed by a half-day on-site interview, which involved lunch followed by meeting with four separate employees four 45-60 minutes each. Interviews were back-to-back, and the last interviewer escorted me back to the lobby.",Positive Experience,Difficult Interview,Facebook
 what can you do to make us better?   ,Declined Offer,"Job fair at my school, i went over to the facebook desk and ask few questions to the lady and then they ask if i will like a interview for a graphic design job, i said yes.",Average Interview,,Facebook
,No Offer,,Negative Experience,Average Interview,Facebook
 Here's A Pen I'm a business owner convince me why I should buy these from you.   ,Accepted Offer,Process was demanding and though lots of things were done didn't take long. Was proud to be offered because they do require a certain type of person and interview process makes this very obvious.,Positive Experience,Difficult Interview,Facebook
" Most challenging question was an exercise in designing a system to do spam detection work and describing it in a huge flowchart, as might be done in an early but detailed product planning session. Be prepared to think on large scales.   ",Accepted Offer,"First step is one or two phone screens, then a half-day or more of on-site interviews. Focus is on programming and architecture talent, but they're also looking for a good cultural fit. An important thing is that you may be interviewed targeted for a specific function, or for general engineering qualifications. In any case, after boojtcamp, you will be shopped around to all the groups that are looking for people, and you get to call your shot, so you don't have to have your specific career path chosen before you apply.",Positive Experience,Difficult Interview,Facebook
"You are given an integer N and an integer M. You are supposed to write a method void findBestCoinsThatMinimizeAverage(int N, int M) that prints the best collection of N coins that minimize the average number of minimum coins needed to generate values from 1 to M. So, if M = 100, and N = 4, then if we use the set {1, 5, 10, 25} to generate each value from",Accepted Offer,"The recruiter called up and asked me if I was interested in the job opportunity. The process began with solving a programming problem on InterviewStreet for which I was given 90 minutes to solve. This was followed by a 60 minute telephonic interview. After clearing these two rounds, I was invited onsite and I had to go through 3 face-to-face interviews. The problems were hard algorithmic problems and you are expected to write clean code in the first go. The interviewers were really friendly and helpful. My advice would be that you have confidence in yourself and be as honest in an interview as possible. For practice, you should be well versed with standard algorithmic techniques like dynamic programming, greedy algorithms, solving linear recurrences in logarithmic time, recursion, tree traversals, etc.",Positive Experience,Difficult Interview,Facebook
 How would you allocate personnel between account management and account acquisition?   ,No Offer,"I found out about the position through a referral. The recruiting process consisted of several phone and an onsite interview. About half the interviews were with the business operations team, and the other half were with members of the advertising sales teams I would be working with closely. All the interviews were case questions: the interviewer would present a business problem that they were working on, and we talked through how to think about it and go about solving it. The recruiters were very responsive, usually getting back to me within 24 hours of a voicemail or email. Overall, the interview process was a very positive experience for me.",Positive Experience,Average Interview,Facebook
,No Offer,,Neutral Experience,Difficult Interview,Facebook
 stats question of russian roulette. (i am terrible at stats)   ,No Offer,,Neutral Experience,Average Interview,Facebook
,No Offer,,Positive Experience,Average Interview,Facebook
,No Offer,"Consists of 1 phone interview, 4 1:1 face to face interviews and 1 follow-up phone interview. The recruiter told me that they are concerned of my system design skills so the gave me another shot after the on-site interview, after that, he told me I did well but they decided to interview me one more time on system design, but two days later he called me again and cancelled the 2nd follow-up interview. I was a little bit upset as they promised another interview but all I can do is move on.",Neutral Experience,Average Interview,Facebook
