question,offer,target_variable,difficulty,interview,source,length,text
 Return an array where the value at an index is the multiplication of all values other than that index of a given array.   ,No Offer,0,Average Interview,"The interview started off with some basic past projects questions, then moved on to 2 algorithm questions. The entire process took about 50 minutes. This interview was for a position in the Singapore branch.",ByteDance,207,started basic past project moved algorithm entire took minute position singapore branch
 Tell me your experience   ,No Offer,0,Difficult Interview,"The interviewer is not very good. He is mean and did not let you go. And at the same time, he asked many questions not relevant with the position I was applying.",ByteDance,161,not good mean not let go time asked many not relevant position applying
" Give you m apples and n plates, how many ways to put apples in the plates?   ",No Offer,0,Difficult Interview,"Ask me about my project in the school, did I do any other project besides the school, and then ask several short technical questions (C++, Computer network, and operating system), one of them is the usage of const in c++, and 1 coding problem.",ByteDance,243,project school project besides school several short technical computer network operating system usage const coding problem
 Describe the roles of a quality assurance analyst.   ,Accepted Offer,1,Easy Interview,Zoom video conference. Direct questions only. There wasn't a need to turn on the camera (not sure why). I was interviewed by an SME (subject matter expert); sounded Indonesian. He sounded tired and inattentive.,ByteDance,210,zoom video conference direct need turn camera not sure interviewed sme subject matter expert sounded indonesian sounded tired inattentive
 Lot of interview questions on my current company rather than getting to know me it was more like what my client was upto. Few questions regarding the experience infact in detail   ,No Offer,0,Easy Interview,First round of interview went well! While the second round of interview was conducted by one of the ops manager from byte dance. She was rude and also was not at all concentrating or rather I would say bother to hear to the answers which I was saying. She was always busy with her phone and laptop and asking me to wait for 2 seconds keeping me on hold. Although there was also an Internet issue from my end! She was not in a position to listen and adjusting her hair looking into the camera! It was rather not professional but it was more of attitude and after almost an hour of interviewing me with multiple questions she has told that she would reschedule my interview for later point of time bcz she could neither accept nor reject my application!,ByteDance,751,first went well second conducted ops manager byte dance rude also not concentrating rather would say bother hear answer saying always busy laptop asking wait second keeping hold although also internet issue end not position listen adjusting hair looking camera rather not professional attitude almost hour interviewing multiple told would reschedule later point time bcz could neither accept reject application
 Tell me about yourself   ,Declined Offer,0,Average Interview,Lot of rounds conducted and no clarity on way forward. Laid back attitude of HRs in the company who doesn’t care about other people’s anxiety and requirement. Too long Interveriews are conducted with no definte questions,ByteDance,220,lot conducted clarity way forward laid back attitude hr company care people anxiety requirement long interveriews conducted definte
,Accepted Offer,1,Average Interview,3 rounds in a row. Each round they will ask you a medium LC algorithm problem and some networking or databases fundamentals. First algorithm is form a binary tree with pre-order and in-order sequences. Second one is a sliding window. And third one is a tree traversal problem. Not that hard.,ByteDance,291,row medium lc algorithm problem networking database fundamental first algorithm form binary tree pre order order sequence second sliding window third tree traversal problem not hard
 They just ask me to do a background run and then we were talking on different things.   ,Accepted Offer,1,Average Interview,The interview process was really smooth. I made this guy who took my interview and he was very soft spoken very nice in terms of talking. Overall the interview process was very nice,ByteDance,181,really smooth made guy took soft spoken nice term talking overall nice
" I don't remember fully, but asked about what I know about the company, what I think I would do there-after being explained, weather I would be OK with shift work and also, what I would do to deal with having to deal with the very repetitive task.   ",No Offer,0,Average Interview,"Talked to agencies first, than received interview dates a few times, one of which worked. Soon I received 'thanks but no thanks' email. Changing original interview dates were detrimental, as I had much less time to prepare. I made a mistake of not replacing the old headphones (online interview) which turned out not working: this was pretty fatal, as I could barely hear the interviewer while the lawnmower was in actin outside. Otherwise manager was great, lovely, we had a good chat etc...",ByteDance,492,talked agency first received date time worked soon received thanks thanks email changing original date detrimental much le time prepare made mistake not replacing old headphone online turned not working pretty fatal could barely hear lawnmower actin outside otherwise manager great lovely good chat etc
 Current issues   ,No Offer,1,Average Interview,I applied online through Indeed. I was contacted via phone a day or so later and was offered to come in for an interview. Two interviewers. One asked in English and another one in Arabic because I applied for the Arabic Content Moderator.,ByteDance,238,applied online indeed contacted via day later offered come two asked english another arabic applied arabic content moderator
" the project I did in Tencent Wesee Team, what's role I play in it and what's the biggest achievement in that process   ",Accepted Offer,1,Average Interview,"Since I was in Hong Kong at that time, the company held the interview via zoom. my interviewer is a gentleman. he is willing to listen, inspire the interviewee and share his feeling of the company. very impressive",ByteDance,213,since hong kong time company held via zoom gentleman willing listen inspire interviewee share feeling company impressive
 How to optimize MySQL database? What are the kinds of indexes available on MySQL? In what situations can an index be used?   ,No Offer,0,Average Interview,"One round of phone screening, followed by an on-site comprising two separate interviews. The phone screening asked five basis questions just to ensure that the candidate knows tech. The on-site interviews comprised a coding question and answering on a piece of paper, and also discussion on technologies that are actually used by the team.",ByteDance,339,screening followed site comprising two separate screening asked five basis ensure candidate know tech site comprised coding answering piece paper also discussion technology actually used team
,Accepted Offer,1,Average Interview,"There were three interviews: two onsite, the third was a phone interview. The entire process was very smooth - about 7-10 days between each round. The team was very friendly - it was a great experience overall.",ByteDance,210,three two onsite third entire smooth day team friendly great experience overall
,Accepted Offer,0,Difficult Interview,"the whole process has 5 rounds and last 3 weeks. However to get the offer, it took 3 month. It can be done remotely via zoom or on-site interview. Each interviewers would dig quite deeply about the past experiences and also your insight/reflection",ByteDance,247,whole last week however get offer took month done remotely via zoom site would dig quite deeply past experience also insight reflection
 Can you share about your experiences?   ,No Offer,0,Average Interview,"The process includes 4 rounds of interviewing through video call & face-to-face. For the last round of recruiting the position of Partnership Manager, Vietnam role, HR manager said that they would like to look for candidates can also speak Thai &/or Chinese, which is quite unprofessional.",ByteDance,289,includes interviewing video call face face last recruiting position partnership manager vietnam role hr manager said would like look candidate also speak thai chinese quite unprofessional
 medium leetcode coding questions and many questions from a computer science background.   ,No Offer,1,Average Interview,"Tel review. talk about your cv for half an hour and some basic questions and coding tasks. The interviewer is friendly, but maybe due to the ""high efficiency"" they are running after, they seem to lack patient ofdiscoverying candidater's potential. but it is ok.",ByteDance,261,tel review talk cv half hour basic coding task friendly maybe due high efficiency running seem lack patient ofdiscoverying candidater potential ok
" Past roles and experience, accomplishment   ",No Offer,0,Easy Interview,"Contacted through text and interview done via video calls. The follow-ups on scheduling were fast. Went through 4rounds of interviews and being asked of salary expectations on 4th round. About a week later, only get a generic email telling I didn't get the job. First thought when reading the message, totally waste of my time. If the interview stops at 2nd round, I would much understanding my profile is not suit to your organization.",ByteDance,436,contacted text done via video call follow ups scheduling fast went asked salary expectation th week later get generic email telling get job first thought reading message totally waste time stop nd would much understanding profile not suit organization
,No Offer,0,Average Interview,"Applied via Linkedin, They emailed me 2 days after my application, Set an online interview a week after, talked for about half an hour with the interviewer from Beijing HQ",ByteDance,171,applied via linkedin emailed day application set online week talked half hour beijing hq
 about QA role   ,Accepted Offer,0,Average Interview,totally two rounds of interview HR and Opps. in that i waited for more then 15 days but finally they called me and took my interview and they are very strict to timings we have to connect exact timing they took my interview through zoom video,ByteDance,242,totally two hr opps waited day finally called took strict timing connect exact timing took zoom video
,Declined Offer,0,Average Interview,the first step was the phone call. The recruiter was asking me the questions regaring the CV as well as basic questions about myself. At the end he told me to wait until next notice which was video interview.,ByteDance,208,first step call asking regaring cv well basic end told wait next notice video
,No Offer,0,Easy Interview,The interview is online and the interviewer asked me several general question about my experience and answered my question. It is not difficult but you should indicate that you can do the job for a long period (6 month+) and consider becoming a formal staff in Bytedance. The total process is about 30 minutes.,ByteDance,310,online asked several general experience answered not difficult indicate job long period month consider becoming formal staff bytedance total minute
 What's you strengths?   ,Declined Offer,1,Average Interview,"It's quite good, all the questions not diffcult and they give you more than average time to talk each. Better be ready and practice before the interview. and no trick question just be honest its will be fine, quite nice place and good interview experience.",ByteDance,256,quite good not diffcult give average time talk better ready practice trick honest fine quite nice place good experience
 past experience as HR BP   ,No Offer,0,Average Interview,"Interviewed for the position of HR Business Partner, Singapore. The interviewer was based in Beijing. Firstly he was late to the interview, didn't have basic courtesy to apologize. Sat down in a room with very dim lights and the camera was too far away where I could barely even see his face. The overall video call set-up was really poor, given that its a so called tech start-up!!Interviewer didn't even introduce himself or say a civilized hello greeting upon starting the interview. Absolute uncultured, unprofessional and arrogant prude. BUCK UP ByteDance! If this is the standard of your HR Business Partner team, one can only imagine the happiness level of their business unit employees. Train your HR people in basic manners and etiquettes at least!!!",ByteDance,759,interviewed position hr business partner singapore based beijing firstly late basic courtesy apologize sat room dim light camera far away could barely even see face overall video call set really poor given called tech start even introduce say civilized hello greeting upon starting absolute uncultured unprofessional arrogant prude buck bytedance standard hr business partner team imagine happiness level business unit employee train hr people basic manner etiquette least
 Can a class have a virtual constructor in C++?   ,Accepted Offer,0,Average Interview,"ByteDance contacted me through a staffing agency. They needed an engineer for a Warsaw office. Overall there were 3 interviews (all remote via zoom): 1 with an engineer from Warsaw, another - with VP of engineering and the last one with a team lead from China. The interviews weren't really difficult. What's disappointing is that the whole process was very slow - I got an offer in September and the first interview was in May. The recruiter was very slow to respond.",ByteDance,468,bytedance contacted staffing agency needed engineer warsaw office overall remote via zoom engineer warsaw another vp engineering last team lead china really difficult disappointing whole slow got offer september first may slow respond
 Do you have any ideas for possible partnerships? How do you imagine they would use TikTok?   ,Accepted Offer,1,Average Interview,Three rounds of phone/video interviews. The first was with an HR/recruiting representative. The second and third were both with individuals from the policy division—both were about 45 minutes long. Everyone was very nice and easy to talk to...it didn’t feel like a stressful interview.,ByteDance,285,three video first hr recruiting representative second third individual policy division minute long everyone nice easy talk feel like stressful
 What's your review on these music platforms?   ,Accepted Offer,1,Average Interview,"There were two rounds and they were very thorough and quick to the point!TThe interviewees were on time and very professional. A few hours after the interview, they immediately gave me a call about the result.",ByteDance,209,two thorough quick point tthe interviewee time professional hour immediately gave call result
,No Offer,0,Easy Interview,There was a pop quiz for translating the news articles in the beginning. I was given 10 minutes to read the article and summarize it. And there was a short interview after that.,ByteDance,177,pop quiz translating news article beginning given minute read article summarize short
" Some Database organization questions, some fundamental operation system question and some Computer Network questions. Besides that, algorithm is inevitable.   ",Accepted Offer,0,Difficult Interview,It took a week to get all interviews done include screen interview and phone interviews. Each will take at least 30 minutes. Prepare the algorithm knowledge. Be nice to your interviewer and try to discuss with them about the code.,ByteDance,230,took week get done include screen take least minute prepare algorithm knowledge nice try discus code
 How do u see growth in tick tok advertising   ,No Offer,0,Average Interview,"There are 4 rounds of interview, 1;1 via zomin. Their HQ is in china so there is no SG office as of now. The interviewer was on time,",ByteDance,133,via zomin hq china sg office time
" Introduce yourself,video quiz   ",Declined Offer,0,Easy Interview,"HR got in touch with me and was arranged 3 round interview with senior employee,manager and HRBP respectively via zoom.Senior employee asked me question related my skills and there was a video quiz.",ByteDance,198,hr got touch arranged senior employee manager hrbp respectively via zoom senior employee asked related skill video quiz
 Please do a short press review   ,Accepted Offer,1,Average Interview,2 video calls with HR and head of department with really common questions : what is your background ? Why do you want to work with us... Eventually I was asked to send them a press review,ByteDance,187,video call hr head department really common background want work eventually asked send press review
 - Let us know what will you bring to our company   ,No Offer,1,Average Interview,"Applied on their website. The process was super easy and well designed. I got 2 more interviews via video. The HR person was really nice. He asked me the right questions and was very open minded. I got another interview with a girl at 7am and i thought i really nailed the interview, but i guess they went with someone else. She seemed very tired when i was talking with her, in fact she yawn a few times. I believe that they are a little disorganized, but otherwise it was a pleasant process. The people were super nice.",ByteDance,521,applied website super easy well designed got via video hr person really nice asked right open minded got another girl thought really nailed guess went someone else seemed tired talking fact yawn time believe little disorganized otherwise pleasant people super nice
 what did you learn from the school   ,Accepted Offer,1,Easy Interview,"The interview process is really smooth and quick. There are written interview and an online person interview. It is generally easy, and relevant experiences would be really helpful. The written test your language skills and marketing sens, while personal interview sees you as a person to work with.",ByteDance,299,really smooth quick written online person generally easy relevant experience would really helpful written test language skill marketing sen personal see person work
1.Go through your experience. 2. What are the challenges in your role ( repetitive in all the rounds ) 3. Situational questions ( vague not composed rightly) in between in final round he was asking in chinese to his fellow colleque to translate the question - where do you see yourself in 5 years..so this is the standard of the interviewer. I dont think they should be hiring indians for,Accepted Offer,0,Easy Interview,"The Interview process took 4 weeks time. I applied via Linkedin and with constant follow up of 2 weeks got their first call. They will have telephonic round first and will from Beijing and post that there will be second round which is VC round with normal conversation. The interviewer is rude and it seems he is not even prepared for interview and most of the time he is lost somewhere and half sleeping. About the 3rd round - was again with some HR official in a VC. Communication in English - Worst! I had tough time to understand chinese english. Interviewers looked confused and the questions were for freshers level. They were just like dummy and looked tired to speak even,Overall this is not the way they should interview.",ByteDance,730,took week time applied via linkedin constant follow week got first call telephonic first beijing post second vc normal conversation rude seems not even prepared time lost somewhere half sleeping rd hr official vc communication english worst tough time understand chinese english looked confused fresher level like dummy looked tired speak even overall not way
 what could your past experience contribute to this role?   ,Accepted Offer,1,Average Interview,"Straight forward and friendly. the scheduling of the interviews are very efficient. there are 3 round of interviews. All video-based. however, the interviewers all look a bit tired though. I heard that they work really long hours .",ByteDance,231,straight forward friendly scheduling efficient video based however look bit tired though heard work really long hour
 How would you promote influencers to create more content and spread the work about Tik-Tok?   ,No Offer,0,Average Interview,"A new office was supposed to operate in Dubai for the ME region. I've applied to the position and interviewed in Oct/2018 and received Feedback at March/2019, after many several follow up emails! Respect is a two way street. Keeping a candidate hanging without any feedback is unprofessional. Even If I had an offer I would decline it for the sake of that treatment.",ByteDance,366,new office supposed operate dubai region applied position interviewed oct received feedback march many several follow email respect two way street keeping candidate hanging without feedback unprofessional even offer would decline sake treatment
 Strength and weakness   ,Accepted Offer,1,Difficult Interview,"There were four rounds of interview, including one with HR and others with different departments. My position required case study questions and other basic HR questions. The atmosphere was relaxing with HR but rather more intense with others. Case questions... I don’t know whether they are on the difficult end, since I have never worked on one prior to the interview.",ByteDance,369,four including hr others different department position required case study basic hr atmosphere relaxing hr rather intense others case know whether difficult end since never worked prior
 How do you think the real work for HRBP? why do you choose this as your career path? How do you recruit engineers? (seriously?!)   ,Declined Offer,0,Average Interview,"Applied the position online and very soon the recruiter called me, but clearly she is a very junior one (maybe intern?) and not clear about this role at all. When I went to the onsite interview, it's totally a disaster. Firstly I waited for more than 10 minutes until someone come to me without preparation, just asked my resume experience, and that guy said we are not sure if there is a suitable position for you, but will get you interviewed for another round in another office. Then the recruiter sent me on a shuttle bus and took me to another building, the interviewer talked to me on her office desk. Later no response from recruiter. Especially for the first male interviewer, very rude and arrogant.",ByteDance,708,applied position online soon called clearly junior maybe intern not clear role went onsite totally disaster firstly waited minute someone come without preparation asked resume experience guy said not sure suitable position get interviewed another another office sent shuttle bus took another building talked office desk later response especially first male rude arrogant
 What single metric to use to measure how well a new app is doing?   ,No Offer,0,Average Interview,"Online tests first, then notified of telephone interview. Waited a very very long time before finally being interviewed. Interviewer not very friendly and appeared tired and disinterested. Didn't click at all. Informed by HR interview failed immediately after.",ByteDance,260,online test first notified telephone waited long time finally interviewed not friendly appeared tired disinterested click informed hr failed immediately
 How much do you know about bytedance?   ,Accepted Offer,1,Average Interview,"Firt self-introduction and then had an English conversation for a while with the interviewer, answering some basic questions related to the CV, then English to Chinese and Chinese to English written translation test.",ByteDance,216,firt self introduction english conversation answering basic related cv english chinese chinese english written translation test
 What are sensitive content?   ,Accepted Offer,1,Easy Interview,"Because it is for the basic position, the interviewer basically just wants to know whether you are familiar with the job title and what the job description entails. What does reviewing content involve, what are usually controlled contents, and are you really speaking the language that you are saying you are speaking.",ByteDance,318,basic position basically want know whether familiar job title job description entail reviewing content involve usually controlled content really speaking language saying speaking
" From your opinion, what are inappropriate contents for the platform?   ",No Offer,0,Easy Interview,"I had total three video-call interview with the HR based in China in three days. Besides general interview questions, they would show you some videos asking your idea whether these videos are appropriate content on their platform or should be removed. The overall interview was easy.",ByteDance,283,total three video call hr based china three day besides general would show video asking idea whether video appropriate content platform removed overall easy
" Please introuduce yourself, constantly: 'what do you think about the job?'   ",Declined Offer,0,Easy Interview,"I applied online and within 5 days they sent me an e-mail to set a Video Call for me.. They were the one, who picked the date and time, and on the interview day we needed to postopne it in the middle because apparently HR person went home. I didn't find it very proffessional. So we had the second part in two next days and the day after I received an offer, but I never accepted it. I specifically asked the question about the shifts and on both stages I received totally opposite answers. Also they don't really respect the fact that sometimes you can't chat at the moment they call out of nowhere.",ByteDance,600,applied online within day sent mail set video call picked date time day needed postopne middle apparently hr person went home find proffessional second part two next day day received offer never accepted specifically asked shift stage received totally opposite answer also really respect fact sometimes chat moment call nowhere
 Introduction   ,Accepted Offer,1,,It's not very difficult. Introduce yourself first and share reasons about why you choose it. HR is very kind.There are two rounds. Each round refers to different sides.Don't be worry.,ByteDance,183,not difficult introduce first share reason choose hr kind two refers different side worry
,Accepted Offer,1,Easy Interview,Sent an application to the HR by email. Had online interviews with an HR and an editor. Then discussed on the salary and work hours. Received the position on the same day.,ByteDance,171,sent application hr email online hr editor discussed salary work hour received position day
 technical questions and self introduction   ,Declined Offer,0,Easy Interview,"quite fast and smooth, but what they offer is not what i want and is worse than my current salary. no comment on that. wasted time going through all the interview in the end, they keep saying about the bonus which is not guarantee. and use it to calculate your salary which don't provide me the security needed to go beijing to work.",ByteDance,333,quite fast smooth offer not want worse current salary comment wasted time going end keep saying bonus not guarantee use calculate salary provide security needed go beijing work
 what do you want to do in the next 3-5years?   ,Accepted Offer,1,Average Interview,"frist，you will have a interview with your director leader,your leader will ask your skill、salary、culture and so on.and then,your department's hr will tell you background and ensure your salary. finally,other department's leader and your department big boss will give you a interview.",ByteDance,283,frist director leader leader skill salary culture department hr tell background ensure salary finally department leader department big bos give
 Tell me about your current job? How do you think about xxx market   ,Accepted Offer,0,Average Interview,"phone call first with one of their team member, then three round of product interview, the last one was with hr. the entire process took 2 weeks. they did give really fast response",ByteDance,180,call first team member three product last hr entire took week give really fast response
,No Offer,1,Average Interview,It was an online interview. The interviewer first asked me to introduce myself and asked me some relevant questions on my resume. He wanted details about the algorithms used in my projects. Then he asked some technical questions.,ByteDance,229,online first asked introduce asked relevant resume wanted detail algorithm used project asked technical
 What are your opinions on the trending apps developed by our company?   ,No Offer,0,Easy Interview,"It was an online interview. The interviewer did not ask me any specific question. Basically, she just asked about my “understanding” or my opinions on some trending apps developed by them. So I talked about my opinions on some of the trending apps they developed and compared them with their analogs developed by other foreign companies. After I finished my talk, she literally rejected me on the spot by saying that I was not fit for the position and that my logic was confusing and my thinking was not clear. Although she gave me a brief explanation after I asked why, I still think the overall experience is kind of unpleasant. First, the questions she asked were ambiguous and unclear, neither did she intend to direct her questions in a more specific way. Second, I did not feel I was having a nice conversation. I did the talking for the most time and she seldom responded to my answer. Her phone kept ringing during the whole process. Third, she literally turned me down immediately on the spot. The reason she gave was also ambiguous and confusing.",ByteDance,1056,online not specific basically asked understanding opinion trending apps developed talked opinion trending apps developed compared analog developed foreign company finished talk literally rejected spot saying not fit position logic confusing thinking not clear although gave brief explanation asked still think overall experience kind unpleasant first asked ambiguous unclear neither intend direct specific way second not feel nice conversation talking time seldom responded answer kept ringing whole third literally turned immediately spot reason gave also ambiguous confusing
 If I can moderate the contents or not? How is my knowledge on my language?do I know the celebrities from India? Am I ok with moderating ? Do I know the company products?   ,Accepted Offer,1,Easy Interview,"Short and simple, they just ask language knowledge. General knowledge about India, fine with relocation or not. Then the last was HR negotiation, they are strict, did not negotiate. Within few days, approx 2 weeks or so, I got the offer letter.",ByteDance,244,short simple language knowledge general knowledge india fine relocation not last hr negotiation strict not negotiate within day approx week got offer letter
" Questions related to influencer marketing, other social media platforms, video platforms.   ",Accepted Offer,0,Average Interview,"Happened over video call since the team was based out of China. This was for a role in Musical.ly. 4 rounds in total, and the last round was conducted by the VP Operations. Make sure you understand your salary breakup while negotiating your CTC because chinese companies follow a weird pay structure.",ByteDance,300,happened video call since team based china role musical ly total last conducted vp operation make sure understand salary breakup negotiating ctc chinese company follow weird pay structure
 what kind of techniques did you use in the past? what projects did you do?   ,Accepted Offer,0,Easy Interview,several rounds of interviews from department leads to HR leads. quite detailed but easy and reasonable. they showed up on time. several rounds of interviews from department leads to HR leads. quite detailed but easy and reasonable. they showed up on time.,ByteDance,255,several department lead hr lead quite detailed easy reasonable showed time several department lead hr lead quite detailed easy reasonable showed time
" Basic JavaScript questions, some simple algorithm problems like traversing a tree.   ",Accepted Offer,1,Average Interview,"I only participated in the intern interview, so it was much easier than fall recruitment. I got a return offer months later. There was 2 round of interviews here, all through video.",ByteDance,181,participated intern much easier fall recruitment got return offer month later video
 What is your experience for working under the presure?   ,Accepted Offer,1,Easy Interview,"The interview consisted on 3 steps - 1 phone screening and 2 interviews. Mainly it was focused on the shifts working, and working under pressure. Important questions was to explain why you want to work for Bytedance so it is worth looking for the information about the record number for a given departament (.e.g Tik Tok)",ByteDance,321,consisted step screening mainly focused shift working working pressure important explain want work bytedance worth looking information record number given departament tik tok
 reverse a binary tree   ,Accepted Offer,1,Difficult Interview,a data engineer called me and asked a bunch of behavioral questions and some basic data structure and algorithms concept questions. then on-site interview with a pm. the onsite interview is about algorithms since I don't have a lot of previous work experience.,ByteDance,260,data engineer called asked bunch behavioral basic data structure algorithm concept site pm onsite algorithm since lot previous work experience
